channel,spend,median,lo,hi,current_spend
Media channel 1,1.2707391145537383,2642.0398084642648,2243.075438532024,3148.349280013106,0.3090815783028675
Media channel 1,1.3081137943935544,2652.9309488521985,2248.652794773216,3171.92001827924,0.3090815783028675
Media channel 1,1.3454884742333701,2662.9151744806545,2252.703665735252,3192.6610716265195,0.3090815783028675
Media channel 1,1.382863154073186,2671.716492349341,2256.74083189686,3213.5760166770465,0.3090815783028675
Media channel 1,1.4202378339130017,2679.8185035313136,2260.45905048949,3229.974929756054,0.3090815783028675
Media channel 1,1.4576125137528175,2687.743033213299,2263.419909705492,3245.351134383313,0.3090815783028675
Media channel 1,1.4949871935926333,2694.7012419229923,2265.9066197249417,3261.231347836062,0.3090815783028675
Media channel 2,0.0,0.0,0.0,0.0,0.16184999078719198
Media channel 2,0.037289036686972955,119.53812319370991,22.771914833277926,361.329256288211,0.16184999078719198
Media channel 2,0.07457807337394591,255.80505923451665,88.36284097577025,555.50309910722,0.16184999078719198
Media channel 2,0.11186711006091887,389.86261516016214,181.79813921125083,705.3008972509643,0.16184999078719198
Media channel 2,0.14915614674789182,518.4810987074743,295.603768446925,833.5741962973481,0.16184999078719198
Media channel 2,0.18644518343486477,640.6439040434684,414.85899341166,941.4058223017219,0.16184999078719198
Media channel 2,0.22373422012183775,750.5319075994823,536.4723931916701,1031.7945591048774,0.16184999078719198
Media channel 2,0.26102325680881067,853.3930016938075,655.3260834886103,1117.7393587015576,0.16184999078719198
Media channel 2,0.29831229349578364,947.37556481562,770.1043916884562,1187.9829877558982,0.16184999078719198
Media channel 2,0.3356013301827566,1036.457726565523,872.2565058659603,1258.9685636101244,0.16184999078719198
Media channel 2,0.37289036686972954,1115.7171300187442,969.3600642854699,1324.091063515066,0.16184999078719198
Media channel 2,0.4101794035567025,1191.788207657724,1054.4967643110997,1380.318454203427,0.16184999078719198
Media channel 2,0.4474684402436755,1261.8499502385705,1134.654008873738,1434.2620956925862,0.16184999078719198
Media channel 2,0.4847574769306484,1326.359155979414,1207.936676322623,1477.471654597597,0.16184999078719198
Media channel 2,0.5220465136176213,1385.4401109572748,1273.316266746808,1518.2083654779392,0.16184999078719198
Media channel 2,0.5593355503045944,1437.8844070064206,1333.0580557759524,1560.1539675888198,0.16184999078719198
Media channel 2,0.5966245869915673,1487.9814403084165,1386.9466612261774,1600.6781140986557,0.16184999078719198
Media channel 2,0.6339136236785402,1534.5203689256446,1435.8118601575509,1643.2564819671757,0.16184999078719198
Media channel 2,0.6712026603655132,1575.8396148951904,1481.013818025174,1682.8704985186728,0.16184999078719198
Media channel 2,0.7084916970524862,1615.0281711393009,1519.5442255814094,1725.5776091246487,0.16184999078719198
Media channel 2,0.7457807337394591,1649.5221624429291,1554.4698688553096,1769.8381300684625,0.16184999078719198
Media channel 2,0.7830697704264321,1681.8970598857218,1583.3520164755914,1811.430003866702,0.16184999078719198
Media channel 2,0.820358807113405,1713.7981070484716,1608.7997413343435,1852.2291365883016,0.16184999078719198
Media channel 2,0.857647843800378,1743.7790282668207,1632.0598294949025,1896.1822591685548,0.16184999078719198
Media channel 2,0.894936880487351,1771.940549538298,1653.0516435310888,1937.4509130896683,0.16184999078719198
Media channel 2,0.9322259171743239,1800.2759547971068,1671.4928179286248,1973.410335350477,0.16184999078719198
Media channel 2,0.9695149538612968,1825.3433126029818,1685.7995790724397,2010.4498457398922,0.16184999078719198
Media channel 2,1.0068039905482697,1849.1091670761605,1700.1014180578843,2045.6497140413107,0.16184999078719198
Media channel 2,1.0440930272352427,1870.6130935220995,1710.9195941941891,2079.8230736122005,0.16184999078719198
Media channel 2,1.0813820639222158,1891.5617646360781,1723.3871824601074,2112.0571876503277,0.16184999078719198
Media channel 2,1.1186711006091887,1912.5896248059594,1735.9020564975453,2144.109727659662,0.16184999078719198
Media channel 2,1.1559601372961616,1933.1422271825854,1746.2001099470565,2174.350502297137,0.16184999078719198
Media channel 2,1.1932491739831346,1951.7071386442376,1754.1318908130959,2204.9853441593123,0.16184999078719198
Media channel 2,1.2305382106701075,1970.3315346349548,1761.8879132515876,2230.4969893179045,0.16184999078719198
Media channel 2,1.2678272473570804,1986.667483281553,1769.0297210045924,2259.854537670229,0.16184999078719198
Media channel 2,1.3051162840440533,2002.6777954102488,1775.0722488699623,2286.648392255144,0.16184999078719198
Media channel 2,1.3424053207310265,2017.852694272851,1780.5618015640769,2311.662764851325,0.16184999078719198
Media channel 2,1.3796943574179994,2033.7051110998777,1785.5632881231484,2338.335966894272,0.16184999078719198
Media channel 2,1.4169833941049723,2047.1710257783393,1792.3289406909682,2363.8058348738523,0.16184999078719198
Media channel 2,1.4542724307919452,2060.9604332477234,1796.885619815241,2388.7829638190187,0.16184999078719198
Media channel 2,1.4915614674789182,2075.2201249328837,1802.1163451576604,2408.123152046604,0.16184999078719198
