week,week_start,revenue,baseline_median,TV median,TV lo,TV hi,Out-of-home median,Out-of-home lo,Out-of-home hi,Print median,Print lo,Print hi,Facebook median,Facebook lo,Facebook hi,Search median,Search lo,Search hi
12,2016-02-08,1809058.33333333,1590299.7775827684,29335.645337305374,3362.827203436769,107677.7584163111,30472.224822600467,595.3332397137846,135774.00930351898,42618.60528963675,5409.564799669896,133395.29086809378,67123.51883635313,14042.802890476014,146171.2066427219,29184.893604124445,1917.3318661243518,154854.38402112946
13,2016-02-15,1952740.0,1567179.900683538,339274.184473353,238849.42696884504,441596.0157001089,17271.851793081198,92.25580945661544,114964.40624096889,30518.170435207885,2669.794456553978,120471.75989078113,47895.31811852067,7657.574284736357,119544.00939822517,10436.485943439107,101.80736463024742,122964.74193295193
14,2016-02-22,1507805.0,1379734.293317104,104139.57171968883,27613.501649701993,220808.03961767812,9279.870287178781,12.610563942667548,97391.2909727367,7906.092634146875,68.09147912381188,91107.31170516057,14734.947670311247,454.13334425902235,77229.11202843902,3753.7670838086697,2.6835325968109216,98392.76169007826
15,2016-02-29,1510391.66666667,1266931.076127376,273708.0981198539,177679.99355490462,378836.66843669466,4992.250221926213,1.8064815061425687,81651.99889474342,2175.207787981633,1.3095313976368945,71539.5510387861,47189.85808221084,7939.922017534241,118438.91517415519,17147.035690900193,758.7148920127271,117126.7030118138
16,2016-03-07,1588840.0,1360124.5084723774,73294.9254523748,15607.729792914572,183154.11973403345,2516.300234391212,0.2095164978946847,65334.57272492023,94106.86230949212,19058.981472930514,186281.5991891207,14568.987060970805,560.3277364670648,71877.40464494916,24347.205654453326,1488.915071860952,134164.3239232299
17,2016-03-14,1605990.0,1345039.9533775868,171030.01244101417,80328.59566050638,282994.60374059295,42101.27567227621,2391.3563611737663,139582.05723017573,28986.201654376477,1796.6118973238326,123557.21894956978,4055.626968189248,25.637797248986057,48758.87912178133,24126.667521510462,1392.92085355502,136751.1847456973
18,2016-03-21,1356010.0,1249176.2917503845,38397.94591367718,5272.804917711205,125643.23881171047,22991.70513972416,445.2218436130004,109165.39605962267,8243.324024187066,34.357709465635956,92670.9084819936,1131.4256714624019,1.2578636982911537,34867.352716839385,23652.95536549832,1300.5962889826662,136393.90445177405
19,2016-03-28,2103936.66666667,1244592.8056519185,7151.470561066977,230.69269848485695,52265.15342855728,57106.91904252958,4951.4028546337495,162334.97613842858,84018.98719557427,17076.637344948074,172714.25673087835,91957.74889893872,21688.3351704965,181678.0401881262,25159.69207632458,1506.3977101144112,139113.7850918566
20,2016-04-04,1120835.0,1070593.7411243366,1264.5128256967084,9.473631924480795,21271.069163424843,33174.22783378138,977.2505341745658,130657.8003672794,25057.32546477091,1243.887632094785,118324.04499104508,34381.03693710154,3025.2964161918603,100586.39899490868,21642.013693375575,1073.1804751275938,134157.09180377598
21,2016-04-11,1141140.0,1076653.182772897,222.125542900276,0.40295765385231425,8452.770141730807,60583.69868804287,5378.2639838439645,167612.95669430023,7037.079568234992,23.62667263683965,89420.2417158768,10172.060593050634,170.8123437031264,64648.1642327437,20120.460664881153,946.8234156996249,130432.42205968179
22,2016-04-18,1166880.0,1051545.699607078,102100.64056836542,26390.127990317484,217030.02405049573,35967.46608587421,1049.3037208530588,137111.4083022443,1923.0832293567964,0.36515436169386284,69826.31034978278,44611.871082522455,7018.141781090716,114056.45668581547,19158.594192707184,854.5511459061233,127379.76436742712
23,2016-04-25,888806.666666667,889138.6595638306,19890.236666806766,1794.8046144516902,87283.55255839338,20237.69055930419,179.5096003522897,111621.95999246617,510.11360215547853,0.0057685984158741275,53251.15590698757,13674.818886827507,503.99877375055894,67459.45206094015,18823.1777534313,842.0268526165355,125565.59869787743
24,2016-05-02,898873.333333333,862412.3631113935,3643.9965204614937,79.60953202928526,34602.73020945101,11265.737682924968,25.936021329864673,90513.32850470739,77225.43681564077,14504.2098654538,161859.00523702492,3809.725263068821,22.777243555432097,44640.683541201994,15010.44220601493,522.2673266705543,115289.6331713353
25,2016-05-09,889373.333333334,873450.7940478567,650.6732091880604,3.1907071141143484,13074.349614217777,47644.885154537944,3160.3485887647203,148875.4885135568,22388.316320562088,998.2618215086376,112353.39560564692,1061.2834504898728,1.0594319942425634,30715.57114114931,14735.54921220665,527.5553416087794,112949.23232881777
26,2016-05-16,1915375.0,887031.4752593448,111.46619706065667,0.1376119575473646,4869.229659132126,27214.59921485618,610.550246200108,118688.24489799414,6231.460560794388,18.21746326936757,83928.28231216762,58862.27506552526,11217.296738406996,137059.3870568866,5002.432481329111,24.104860370815413,89674.97420845236
27,2016-05-23,1006845.0,933364.1113152714,19.99124049933907,0.0058183219794174165,1887.2316858367503,78726.76983906084,9741.793700138494,193586.47769088252,1658.5555478564156,0.29539281555003183,64338.4630426595,19127.057742174264,1053.9062369034757,74825.93392287014,1714.132292420147,0.720153310533045,69562.64397125016
28,2016-05-30,869198.333333334,831351.759227093,3.5950867170501546,0.00025386914411237155,754.7951173437494,49699.48412852671,2352.7796244434103,158559.6584512116,444.35466723858667,0.004755303177167069,49346.928177944545,5415.192551347471,50.508164768425154,47322.21345021976,8999.737845000156,240.02430143278434,88272.27229086707
29,2016-06-06,727250.0,711445.7803955701,0.6373003426956045,1.0958511015818383e-05,293.46802953805286,29336.678229140678,394.7268766773245,131991.35839119917,109.32966293148478,6.963319585604835e-05,35754.21694685312,1524.584965672053,2.483861711534231,33627.541518299186,10332.628231913957,309.9974915288309,92698.9285988331
30,2016-06-13,753730.0,715717.5986758559,0.1132464469811174,4.5656457391560527e-07,114.11992143570235,16885.25941458527,65.27631420498511,108830.7138129458,29.17990018327229,1.0876486946705329e-06,25897.388665787927,413.33231356028523,0.10169623357853286,23047.937405129393,13018.704508466111,466.776353619868,100643.44157563994
31,2016-06-20,999196.666666667,814850.7473046108,163638.70615133946,68077.19145538472,279635.8806722853,77754.79022125833,9531.729479514008,192117.79213679605,7.32898152845878,1.6177894921547098e-08,19628.7747469941,42296.284665577565,5929.866442257726,112456.44634150846,14913.631157781174,584.0310802140855,107018.18381436764
32,2016-06-27,845843.333333333,759689.2522135578,35893.89749783329,4646.374778114705,119312.76557448736,48785.24244190153,2254.774226700275,157655.510430298,1.884233947938493,2.44939277681953e-10,13360.40382377304,12825.104513746724,501.73505586952683,61707.76615727598,14744.70913315885,554.1694652290644,108139.98391760413
33,2016-07-04,1126016.66666667,898365.4276493016,100270.68439955162,27694.866029313762,213281.23053572405,28817.831420428025,378.65947557097223,130774.77128197071,36702.85595954013,4210.481857230744,112637.39702774305,3514.022504013078,23.75598598960386,39428.456760901674,16472.784190081795,692.808775875099,112878.1899192918
34,2016-07-11,1140978.33333333,961414.0829282438,19687.594610358436,1746.6843091841731,87239.9565489076,16392.004791133244,61.682324184804116,108038.10956709653,9129.124001692868,148.91729136701684,77904.98777698468,973.1105625683708,1.0922207929049892,26613.78213077889,18206.798036107684,820.494785891744,117495.32816103924
35,2016-07-18,1242656.66666667,959641.6675187034,24990.962651821552,2327.639771885149,104181.58053486994,115291.55024601475,18364.546387867977,245409.29010937078,37149.239296486456,4406.74135799063,115641.48851967223,56812.615123706426,10411.848799227533,133755.3045582676,15577.255476626644,582.3955692440805,113564.914980157
36,2016-07-25,1293483.33333333,1067175.8839676918,4537.4994558801445,136.25609427080252,38718.08717478858,81058.48973673236,7253.171979521794,206604.48325407825,9383.958405346188,144.75185572068744,83155.14375465162,18326.931249869973,974.817302328445,72914.91993067761,18352.169744540366,839.5416320975274,119213.61942073393
37,2016-08-01,1484843.33333333,1089439.2465751977,205836.68884029618,104656.13351167119,316883.8869670581,102033.02949428117,14878.743833704159,228433.6895777053,2522.460066101441,2.8502241374431523,61984.4652279118,81529.06397463055,18847.998509695866,165766.7588602656,21289.41808704909,1136.481957320125,126351.85033613168
38,2016-08-08,1485698.33333333,1220448.2646725227,48632.00400827393,8134.372172362009,141538.75225072115,69891.76013795528,4282.904600230771,194808.22603363867,7455.847034843629,130.69769367174564,68664.37760235133,28933.251198806407,2211.8265664631517,92082.54658817496,24078.76067273508,1399.3782025305504,133039.51630690478
39,2016-08-15,1556608.33333333,1190073.2006971869,213316.05795819068,113707.08560650905,322452.12500930205,44437.31689020453,710.5069582148883,166304.34043557418,1798.2654098010016,3.2528397763400965,49744.61067953965,28628.39089871466,2849.3461834172786,89446.18917727891,8162.471057645951,79.06731804109228,100676.85555987412
40,2016-08-22,1391206.66666667,1124123.0201967594,51083.11725476398,8711.46411764654,146921.17465454238,26638.3500720664,108.08154505285088,140335.3859506244,83227.81151314004,16366.642065549402,169989.36345245363,20822.250726707374,1505.2775790112562,77991.08175009962,2944.2185358180013,2.132531559390323,81276.15120487714
41,2016-08-29,2018783.33333333,1521277.2584206657,190556.54208958105,95053.97792372406,302170.35374004557,89742.16654960331,12484.929859058122,209966.95343309364,24653.840425519375,1278.2370411387526,113644.4623383048,5821.721538811458,81.11900717119819,48485.33341923546,21220.38050748081,1212.7424659976166,120703.29913115525
42,2016-09-05,2170721.66666667,1645048.3852394577,194115.23114884476,100302.03312832923,304392.19556355,88026.97587037337,11271.496660231292,209954.560260398,30713.577619283158,2851.3392201889055,115530.31830612669,2971.558883229194,27.017158187940986,38023.60437739213,27816.65790601834,1955.5648891017518,136462.45165938674
43,2016-09-12,2247670.0,1850047.6277248613,45448.87247557661,7001.164943792313,138774.6769569339,102335.5743262332,15240.372048800273,229214.37734196623,7935.868105376678,75.56068729244872,85397.7390623669,807.7399648133584,1.2083061114137466,26273.111976573702,31930.04314904743,2401.4839735872283,146513.36570752203
44,2016-09-19,2192026.66666667,1728739.1971741025,8444.811171529134,309.7226677492129,59595.271571301244,81254.44679192116,8055.269273321842,206129.69177581219,121037.2248158705,25218.343080020855,238250.1481387434,70025.55774724683,14606.900758979062,151209.04594995585,33703.88988652418,2672.493279315766,151582.50977244618
45,2016-09-26,1895213.33333333,1647745.2996416278,1508.723123180503,12.450206940503147,24085.40268383248,101609.19641072399,14772.785484178075,227278.21553132468,42737.516594355686,4015.1992333781213,144018.83598789206,23612.303836276897,1570.4404937775787,81672.73806314095,31562.240586406144,2301.030774664652,152940.92342133418
46,2016-10-03,2232910.0,1727594.4426137717,454691.3308998974,319759.90504081966,591606.7523534534,101432.38109557533,14317.424582644291,227779.6693307952,75053.72306746768,15270.136495961218,164046.66519216247,58800.14828380272,11531.562439965932,134386.93910793922,33890.80933745229,2616.6831201622385,156459.8202726411
47,2016-10-10,2406035.0,2053182.7262944598,191699.35644298742,70019.67160735733,331509.16942700354,69304.79970352974,3844.7133208930277,197203.31805772817,83846.77104336077,18011.89949756086,174623.89183654028,73723.5678344192,16158.355715123836,153902.41323926306,38670.856738389666,3228.399559485201,163307.34824853978
48,2016-10-17,2252445.0,1857570.4340108945,382134.727354915,271708.3746786991,492904.7901893848,61578.10889567986,3869.5093509802423,183310.660766516,25161.30549023256,1070.8099670652996,126115.68635635583,96095.77745956855,23029.75782588131,187106.88880737242,38700.10728507525,3199.042582488628,166284.78109730402
49,2016-10-24,2663125.0,2248446.092586511,131544.00413662306,37758.10699742171,267976.8346145886,96076.96931755362,13724.909235667523,219082.7149849251,69094.24827654783,13110.158134533607,156857.12907090012,106317.15405493524,26532.485734790942,206648.77514523844,41313.06324935399,3469.998530460176,171736.92742390142
50,2016-10-31,2974771.66666667,2398776.901490498,399333.53804630425,284285.6496243662,514462.6192035919,64526.10229452033,3734.125540777512,186949.379900975,19410.452400456852,623.4299217860126,113159.14831467778,113993.61785688915,28700.304468469432,217888.62293995192,47298.488668090344,4535.467280461573,180993.8053781438
51,2016-11-07,2826128.33333333,2389298.75866963,143485.0491734253,44556.016491290844,279314.41630192735,93445.71344303197,12883.660554039834,215600.5083264912,77748.0683800505,15605.699098595434,165275.8359956063,120120.40291404858,30347.771395815045,231256.15445445434,44883.32364687769,3927.3771022849774,179454.78878866535
52,2016-11-14,3182900.0,2569639.610338373,312364.68742799654,215504.1383573517,415837.2095922841,62374.963958887834,3377.503817907579,184411.0837699056,22505.686165778094,901.4870573168876,116862.51106863872,110647.12443630796,26858.20597983735,218091.6152101362,16460.59217988674,230.56362776440844,143402.40539543473
53,2016-11-21,2964696.66666667,2449249.1374032055,145039.91939921802,59092.09316318225,260938.13620564868,93557.59233905771,13035.713318273083,215126.0471284148,56474.02380137183,9669.860257815455,142700.54220918665,117841.69288763808,29377.81462400048,230064.39248448776,6074.38555052407,7.027976987754976,115010.81304264598
54,2016-11-28,2848525.0,2518420.1093521495,30966.925541690813,3221.5714654115204,120388.86313172439,62357.860960934035,3411.664959959433,183707.5450795835,44476.63947242964,6096.3337117266165,132845.96881634943,105177.13603747128,24814.94476520413,211210.85054124484,64466.22575197446,6841.7818853726,198753.8795816689
55,2016-12-05,2740160.0,2263474.2728177006,130781.93216198831,46818.3358856917,244547.6597740868,109521.41347109183,17025.41800528644,238632.76385035264,12070.766992368393,185.2917743605157,98592.92804788663,68717.2453382764,11940.947719146221,159781.12651295247,75576.49500850668,7791.8699603616915,219641.48109007985
56,2016-12-12,2380508.33333333,2181001.965663274,27377.560079576448,2960.6928482321305,103541.97515668692,76924.43769394026,5733.990843764169,202243.71938512416,3326.632939004935,3.379605762881535,75991.65848483074,72521.37316768957,14474.81075007882,159372.46428103087,73732.61590877394,7625.012564737223,223911.6493785496
57,2016-12-19,2230915.0,1993805.5640436967,5062.805321287808,132.13918187668475,42610.77053479556,122673.4955620497,19480.937873236147,262374.8272229684,882.8296573246503,0.0577261172019312,58475.34490678546,43890.892971111054,5884.724236410302,121193.80564938045,71209.39180375311,7347.3908826327015,223423.9413717278
58,2016-12-26,3659425.0,2115860.397826085,413582.49394172395,293716.96254989126,529649.6111850631,89935.14323816013,8189.489192515068,219524.03618853283,224.55952310735057,0.0008423508721160769,44133.30441304579,107765.45735376695,27360.398516179666,205929.19480862303,75747.96637127652,7781.362864377884,232438.87686611366
59,2017-01-02,2827008.33333333,2046743.8499657176,322964.54045196035,220971.11680870797,433928.4746130127,133671.4212761192,21727.549219459117,284042.3134423746,124860.79431023431,25850.807539547288,250190.81004602232,96511.99821402934,22556.73162506441,192871.28860351496,74989.10756043383,7650.070424657642,233141.20518420465
60,2017-01-09,2042143.33333333,1875245.720358923,97900.49418503384,21354.39397659428,228566.00275248848,102986.35291040243,10671.530297840422,237696.01272264385,45562.00413780835,4581.010054611399,145912.24990008978,104117.09143869588,25436.05706320715,205344.00385977962,73255.50719216878,7470.049055124685,231510.3858939841
61,2017-01-16,2113358.33333333,1830471.9008628211,82611.88555510195,21976.726602486746,188241.43185078702,71397.35925812257,2660.783082545771,206846.71646481843,26510.88221788391,1727.6233603043115,122123.19086480117,110661.49892480363,27489.08570741462,214511.51416753192,70086.26130047244,7181.495285593561,229634.69852765137
62,2017-01-23,2179918.33333333,1881122.9127690948,16096.05182296297,1061.8550511650194,80276.96350587744,46669.14528787081,392.068419887761,183063.1105000997,75554.17491108394,15166.29142511725,162905.93333344677,116001.54343081816,29099.158565556903,225194.1904235017,71147.12799781203,7333.009652649461,229820.53235376911
63,2017-01-30,2370613.33333333,1886096.9895465393,259658.80002484412,160672.36420782006,365933.4668999558,29126.071977218555,57.24162485948661,157791.73959123823,21660.280437702364,823.2358839990604,115802.49389985352,100659.87586581302,23139.014078028467,202801.91521625337,72653.65169796183,7495.697242512144,231956.84051228678
64,2017-02-06,1814556.66666667,1635389.3195462585,67454.19906152331,14181.979664535022,172157.7530147669,16368.660240916935,8.18118622056065,136803.2644014781,6130.021935397315,15.199107544781878,88121.29607846048,40036.85725486296,2745.2048376195185,129461.94560995547,63219.444809641245,6222.474980257832,221651.5584227771
65,2017-02-13,1951668.33333333,1677971.82837247,12971.411964278228,650.9519123066195,75138.79524665457,81387.79044385803,9957.455059359245,199203.19252586478,1656.058265915949,0.244362971562529,69052.84541554902,115516.01945324049,29448.05445002205,219337.83489727598,24482.97164975455,451.3248557144243,178792.55049418626
66,2017-02-20,1918238.33333333,1633879.7280040993,2359.340920458095,27.660319605769928,30998.649974613683,51739.88702662814,2478.9253141334366,168240.6409466502,69366.65476953698,12634.179065695502,153298.70671021353,48394.65754501107,5062.392596469673,134115.0091051452,9476.706602144084,13.554970731800818,145706.81377174373
67,2017-02-27,1472390.0,1324288.1947379862,415.20466111813636,1.132277543835936,12376.171547494225,31089.70565317913,399.2826230611177,138448.43430820951,19496.344297876938,715.5586847859217,107995.54328058568,144944.16923048277,37009.78884541759,276357.9359303354,35327.64291046717,2811.795230844279,165553.9208677817
68,2017-03-06,1477865.0,1293143.7572747697,72.55638140711926,0.04861347764388625,4842.251634530405,17524.917090677503,64.33962634679602,116935.41808221345,87528.96255084084,18002.393528163095,176166.5869520978,71407.16597459091,9606.919390422378,173524.0043306107,43770.53368438999,3917.0174362356156,175822.4917523064
69,2017-03-13,1300166.66666667,1161802.962590109,96198.96030799617,23249.640073384373,211018.01097141329,9642.384124146613,8.430646830856688,99220.9636827251,26398.480921182498,1381.7972525794546,120726.51606279596,25834.606602527812,680.1088353504433,116068.76034325393,43831.76911983406,3823.7781978465837,177707.89556515837
70,2017-03-20,1160205.0,1047392.7388966226,18566.697662991864,1596.3843051914425,84010.58842703087,4958.3547117202925,0.9961742162555434,79321.62680599173,108939.38979647166,23201.46656225575,210384.5763534179,7832.460606529647,35.374035843817204,81935.51593214255,41169.814872686125,3339.0013900547547,175815.77356007474
71,2017-03-27,1356871.66666667,1239923.9384737602,3395.420176993168,70.38617459955782,33005.72996644688,30378.963738404105,1069.764065048842,121301.19133847988,36386.37610678214,2661.0523213475026,136917.35761585122,49758.74885383237,8571.455982270085,124200.66266989212,47016.40780011244,4422.890501403164,182244.92388371634
72,2017-04-03,1355833.33333333,1250320.4320079521,600.973125338028,2.845225020539364,12428.293724740193,15463.05208327264,190.3162493701079,91631.10947232129,10370.14499183934,50.66118062379637,104149.55820289714,15481.254447504007,615.3260827687612,75533.08790263697,47377.42319267021,4415.44054423119,183853.93841989228
73,2017-04-10,1176266.66666667,1065508.3147812802,103.44254541758076,0.12048858779095885,4630.926625845665,131043.35610403586,21337.48879325968,273897.69832273584,3001.0957036091136,0.7820568275571252,81767.54709881276,4260.4002100428825,29.431797757041135,53956.83671817027,41778.113590672525,3477.8417028970644,178859.85104509353
74,2017-04-17,1955281.66666667,917139.9527593524,72673.29924770739,13691.114758834938,183658.7185976176,98677.01028201109,10786.990450339394,226873.16205810517,808.1195179494334,0.011465280463545707,64536.98532754931,1193.8740343232994,1.3963275598875942,37615.500990699045,39200.17412026915,3086.1055795899665,174177.7920356563
75,2017-04-24,1029928.33333333,970770.8190073973,13466.762877383153,913.4571339102783,71143.76647092165,123109.85867289858,19143.51577849905,263954.98707495676,206.99948818333957,0.00019101529234335406,48562.725423600736,316.3328175318668,0.05672528825643182,26617.92795798242,36440.60990502797,2737.6172668603845,169715.91401848305
76,2017-05-01,2263143.33333333,856679.5352342622,244185.34906284517,143066.65030300632,351430.89714827127,90661.42229177532,7891.3666547448975,221884.48105322494,53.06328999299487,2.568681393778934e-06,36397.66371953589,88.12451317469547,0.002551522411006394,18566.7669666113,30557.690585345277,2002.7631302115587,160347.1005847525
77,2017-05-08,813771.666666667,800212.9597245061,61788.59096525502,12309.9637363564,164033.06094161878,123026.89698682052,19167.08909470496,263874.35885381204,13.16351878191162,3.628978121789985e-08,27611.978553393874,23.81148473009342,0.00010403959411576766,12605.785365191277,29232.585014025357,1903.3709159167524,156155.10052222767
78,2017-05-15,880871.666666667,866731.325590766,11821.023620948434,570.4322894479212,71135.02375258444,90486.3989267415,7859.8537696789,222240.82418815407,3.4023166089535306,5.774036538615759e-10,20809.39006622423,6.474344852230853,4.202633814470517e-06,8216.546034600771,10510.044701343819,101.55301399258707,124894.38465364251
79,2017-05-22,919185.0,876482.1681994793,2130.9533535690207,23.537392739886425,28745.39765412498,78100.35373902394,6414.051577229595,207687.93877892176,0.8651712693408764,9.860873278680257e-12,15139.208388882456,61894.89355741398,11854.979255385759,141324.39695846877,3776.160593225237,2.6272710554737486,100011.25630082487
80,2017-05-29,826321.666666667,785036.9902676955,375.08248132611925,0.9646589720102551,11421.76404068761,50451.5215110821,1298.2306741782525,181494.97191103944,49120.997096024046,7148.5647098092795,127888.32924626133,20173.148421069254,1191.3074243035553,74735.38573220187,16320.136847018084,683.711042047578,116644.93486483148
81,2017-06-05,833798.333333333,756200.3850470256,86487.91146974001,19439.18510240051,199668.855338287,59692.556557490345,4212.900074279943,179874.19907867952,12839.64621052075,304.7537028706014,87924.69893036255,56747.689237024926,10870.827783307926,131216.98937328675,23257.864403331463,1336.7808361523214,132481.7751759988
82,2017-06-12,746271.666666667,714475.5802932392,16523.01914474317,1324.3960634090922,78029.88892806758,36082.53441038217,727.2868885954406,155430.45491692662,3387.598076994626,5.839029089578485,66126.94949523528,18371.098695289613,910.1929442874822,75128.01841082322,22690.86551099275,1233.7099413965163,134074.15207857877
83,2017-06-19,1036406.66666667,849836.7084896644,243034.56258366263,142303.45732314768,350254.4493169138,20665.115889604036,105.7128272725415,132651.52269599534,883.7145659470893,0.09596294717639818,48917.75553060115,5997.913148844799,82.9580281785394,49574.98495355851,29111.29930311886,2006.1697650282686,144370.10911765907
84,2017-06-26,927931.666666667,795346.8243665772,61322.28852422653,12134.284023743034,163311.20747824197,88671.88261702491,12314.659696572759,207311.31116133227,34374.547705933786,3610.187227781187,109930.90562710926,1674.660828426637,3.745905997408891,34536.13353300749,27882.375416926414,1825.427211810107,144403.90082604167
85,2017-07-03,1126943.33333333,900377.129219026,60043.46830384678,11862.061695497247,160361.72743187007,57956.392003174136,3277.064036741757,176405.9797650297,68918.91544675357,12671.715799913034,152112.2845513181,93814.5474736791,22169.26734216669,183464.81006813174,35089.04593668452,2871.790701551292,154606.15929746823
86,2017-07-10,1184220.0,995241.2770843495,11270.999224762581,656.2159448068447,63813.54321007376,35093.963760440696,588.264926291684,143782.37169487984,19277.82158925697,667.3463671221946,107410.77795763519,35059.02216379174,3089.611586052412,101099.06932040132,37033.65251134447,3024.6128249328426,159938.51526583332
87,2017-07-17,1315508.33333333,955624.0525065167,94213.57145454403,23245.21617793942,207979.80922712307,77502.29249086998,8965.235507304178,194032.68907012147,120946.78684549275,25220.586885350836,236583.20786979896,10332.288911580723,171.5809078881562,64878.143341332754,38889.95797838362,3247.7778750317884,164503.0255860291
88,2017-07-24,1279360.0,1057648.4303255784,18327.090117404292,1557.9299321926148,83390.37834504631,48493.309367571725,2130.106241861314,160987.85404555302,42758.90100166488,3905.46160912686,144641.61144300352,2988.554973105296,7.736273983276556,46265.44068634958,39799.213786432054,3313.263734534203,168259.33450888173
89,2017-07-31,1455811.66666667,1095991.4787826585,107206.81198494708,29532.535995866645,221146.20926206675,100849.80440480771,15439.987175078602,226078.49374341752,25226.904877983783,1539.1864954282862,120875.8532724221,835.6052985880779,0.35164787703838174,32287.973733986328,44600.68017151924,4013.6908274356892,175910.00997498544
90,2017-08-07,1553355.0,1211729.8789952118,21125.722189073913,1956.484041022417,90238.72582483596,96860.93772626575,13288.4534654029,221235.23938425828,68872.31568238646,13027.78179944887,155456.86527948125,223.66154709881778,0.014565470872219068,23368.466048950588,51328.87623249972,5018.663062052772,186735.05860832575
91,2017-08-14,1374855.0,1059559.744297561,234415.8148551691,133511.4515090611,341697.66447928065,66124.61757578744,3469.636348177653,189254.82336687687,19234.026751437654,618.3592686532643,111807.8375697436,61.06549016869877,0.0005897081812693872,16126.276390460564,18926.28051164895,345.30644617121646,148991.8136243785
92,2017-08-21,1970110.0,1544716.7488382342,58233.05690177505,11013.629631118305,158307.3396459866,41322.043789167175,577.9163946202891,160897.82195459987,76731.85627714044,15342.77842219817,163295.24449523873,22287.644894730503,1755.0093075705674,78703.393228627,6974.643248848341,10.458179633311378,118531.15694748526
93,2017-08-28,2336431.66666667,1728863.569425357,427817.94560522604,304492.93292588164,551654.1234087882,24755.01174341875,85.93505685990945,135727.88925371144,22108.714459958443,865.0710795565135,115816.13597879137,22124.776521194537,1774.9404700509301,77118.62326612641,49890.89976841057,4954.506053958179,173846.91457745968
94,2017-09-04,2002065.0,1679446.3559316527,166944.50525965722,56958.61342781192,302090.69553467364,14083.322090388683,11.714686441715356,116207.44282950583,6225.356001911992,16.11446726307099,88206.85273726964,6245.023662997131,111.63107040208072,46519.36066508386,58980.07280995739,6169.708000447673,193730.22678077413
