week_start,revenue_eur,orders,promo_flag,holiday_flag
2024-04-01,110154.80668661141,1160,1,1
2024-04-08,95240.10068685093,1003,0,0
2024-04-15,100234.62449845488,1055,0,0
2024-04-22,100613.46100612915,1059,0,0
2024-04-29,115533.72737613972,1216,1,1
2024-05-06,101120.35339573771,1064,0,1
2024-05-13,103244.04258281115,1087,0,0
2024-05-20,103339.21278811147,1088,0,1
2024-05-27,117364.60343465998,1235,1,1
2024-06-03,90243.2322553823,950,0,0
2024-06-10,94611.5489985731,996,0,0
2024-06-17,84307.0078700245,887,0,0
2024-06-24,86471.03922445858,910,0,0
2024-07-01,90586.49518632768,954,0,0
2024-07-08,91343.8539487214,962,0,0
2024-07-15,81250.42341798311,855,0,0
2024-07-22,74385.46232151231,783,0,0
2024-07-29,70758.21966766407,745,0,0
2024-08-05,75089.20470783737,790,0,0
2024-08-12,76026.34129371512,800,0,1
2024-08-19,84359.97870364488,888,0,0
2024-08-26,85065.87290037856,895,0,0
2024-09-02,122934.35875053825,1294,1,0
2024-09-09,110380.80922314731,1162,0,0
2024-09-16,90557.8725657178,953,0,0
2024-09-23,92419.23678174092,973,0,0
2024-09-30,89860.15983979013,946,0,0
2024-10-07,87546.33679004648,922,0,0
2024-10-14,83016.96527623995,874,0,0
2024-10-21,84616.80591209776,891,0,1
2024-10-28,78309.54346222935,824,0,1
2024-11-04,82465.15462338823,868,0,0
2024-11-11,80736.86761521132,850,0,0
2024-11-18,107497.65662296147,1132,1,0
2024-11-25,110369.71531421044,1162,1,0
2024-12-02,153372.61446585652,1461,1,1
2024-12-09,157430.98875078832,1499,1,0
2024-12-16,149093.6271001945,1420,1,0
2024-12-23,133353.70722424946,1270,0,1
