week,week_start,spend_TV,spend_Radio,spend_Print,spend_Paid Search,spend_Paid Social,revenue,holiday,platform_Paid Search,platform_Paid Social
31,2023-07-31,0.0,0.0,6445.0,4238.0,5468.0,106288.23,0.0,18159.6,14632.95
32,2023-08-07,0.0,0.0,6372.0,9371.0,5888.0,110548.93,0.0,23861.06,14526.08
33,2023-08-14,0.0,0.0,0.0,6972.0,5028.0,103832.64,1.0,23416.48,14145.26
34,2023-08-21,0.0,0.0,0.0,5415.0,4041.0,104157.89,0.0,21937.75,13217.03
35,2023-08-28,32970.0,10306.0,6900.0,8816.0,7987.0,136546.88,0.0,21878.78,15129.32
36,2023-09-04,35189.0,9383.0,8728.0,6898.0,5148.0,146267.87,0.0,20641.82,14048.59
37,2023-09-11,33454.0,0.0,0.0,8149.0,5927.0,140516.03,0.0,21896.43,14288.28
38,2023-09-18,34860.0,10715.0,0.0,4411.0,6926.0,145693.71,0.0,17891.8,14914.39
39,2023-09-25,37647.0,11770.0,0.0,7161.0,5974.0,150878.59,0.0,20468.31,14517.58
40,2023-10-02,39277.0,0.0,0.0,13799.0,9672.0,148538.23,0.0,25261.37,16277.63
41,2023-10-09,0.0,10489.0,0.0,7234.0,6965.0,155373.67,0.0,22940.4,15829.3
42,2023-10-16,36693.0,10380.0,0.0,9526.0,4898.0,156809.08,0.0,22901.14,14056.72
43,2023-10-23,38346.0,0.0,0.0,8032.0,6627.0,144960.3,1.0,22026.7,14720.41
44,2023-10-30,37753.0,0.0,9911.0,11195.0,5652.0,155675.26,1.0,23924.73,14243.61
45,2023-11-06,0.0,0.0,9252.0,8669.0,8674.0,159216.74,0.0,24007.26,16170.27
46,2023-11-13,0.0,0.0,0.0,8157.0,6613.0,144640.11,0.0,25209.18,15840.1
47,2023-11-20,0.0,0.0,0.0,9125.0,4877.0,133781.68,0.0,26521.75,14423.23
48,2023-11-27,0.0,0.0,8571.0,13187.0,7645.0,136503.59,0.0,27022.62,15498.73
49,2023-12-04,38114.0,0.0,9388.0,8165.0,4803.0,150098.46,1.0,22389.94,13858.52
50,2023-12-11,36629.0,0.0,8660.0,9245.0,12186.0,153102.97,0.0,22712.28,17083.1
51,2023-12-18,39720.0,12323.0,9779.0,9803.0,7665.0,169912.44,0.0,22951.54,16071.92
52,2023-12-25,37630.0,9891.0,0.0,10016.0,7413.0,158051.78,1.0,23286.74,15679.3
53,2024-01-01,38869.0,0.0,9119.0,7481.0,4725.0,159360.31,1.0,21498.39,14003.85
54,2024-01-08,37087.0,11807.0,9466.0,6783.0,5896.0,161386.87,0.0,20471.88,14194.52
55,2024-01-15,0.0,10336.0,0.0,8499.0,6934.0,158220.61,0.0,23326.3,15181.15
56,2024-01-22,40655.0,0.0,7919.0,16372.0,6696.0,158338.2,0.0,26261.14,14918.72
57,2024-01-29,27163.0,0.0,8142.0,9275.0,4850.0,150955.8,0.0,23621.4,13817.66
58,2024-02-05,35872.0,0.0,0.0,9074.0,8156.0,150315.5,0.0,22885.04,15491.89
59,2024-02-12,34474.0,0.0,0.0,6965.0,4844.0,138279.36,0.0,21163.57,14014.65
60,2024-02-19,31683.0,0.0,7388.0,6533.0,9686.0,140104.02,0.0,20280.36,16210.87
61,2024-02-26,32551.0,0.0,8462.0,7276.0,3817.0,144664.14,0.0,20957.23,13580.95
62,2024-03-04,0.0,0.0,9856.0,6568.0,6647.0,139308.86,0.0,21396.84,14876.7
63,2024-03-11,35972.0,0.0,7322.0,6438.0,4222.0,138658.2,0.0,20083.2,13165.24
64,2024-03-18,27717.0,0.0,0.0,12825.0,5532.0,145584.69,0.0,25114.22,13768.83
65,2024-03-25,28681.0,8730.0,0.0,5328.0,6105.0,146502.51,0.0,19829.42,14300.88
66,2024-04-01,0.0,7783.0,0.0,3912.0,4731.0,125392.71,1.0,17775.67,13763.59
67,2024-04-08,0.0,0.0,0.0,5713.0,4544.0,118498.94,0.0,21764.43,13623.42
68,2024-04-15,0.0,0.0,0.0,4338.0,5255.0,109627.5,0.0,19627.6,14222.11
69,2024-04-22,0.0,0.0,0.0,7761.0,3952.0,110013.32,0.0,24386.67,12940.15
70,2024-04-29,0.0,7421.0,0.0,6166.0,8905.0,104664.41,1.0,20806.51,15958.44
71,2024-05-06,0.0,7809.0,0.0,4835.0,4588.0,109714.84,1.0,19219.7,14121.46
72,2024-05-13,0.0,0.0,0.0,10939.0,3332.0,105225.54,0.0,27092.93,12330.5
73,2024-05-20,28481.0,0.0,0.0,5057.0,3731.0,115162.17,1.0,19323.99,11866.28
74,2024-05-27,20824.0,0.0,0.0,6111.0,3796.0,111211.64,1.0,19999.88,11891.6
75,2024-06-03,28582.0,0.0,0.0,4386.0,8481.0,115265.75,0.0,17539.95,15369.0
76,2024-06-10,0.0,8134.0,0.0,5698.0,3935.0,122317.13,0.0,20138.28,13438.11
77,2024-06-17,0.0,6962.0,0.0,5284.0,3534.0,111795.08,0.0,19924.44,12251.3
78,2024-06-24,0.0,0.0,0.0,6062.0,6360.0,110195.68,0.0,21647.21,14652.36
79,2024-07-01,24459.0,0.0,0.0,5158.0,4119.0,118823.18,0.0,18751.93,12930.06
80,2024-07-08,28079.0,0.0,0.0,12242.0,5504.0,126331.07,0.0,24534.34,13655.77
81,2024-07-15,29091.0,8584.0,0.0,6587.0,4074.0,132169.82,0.0,20938.1,12684.04
82,2024-07-22,0.0,9204.0,0.0,4733.0,5405.0,129577.41,0.0,19102.05,13781.33
83,2024-07-29,0.0,0.0,0.0,6417.0,5786.0,112721.68,0.0,22272.11,14565.29
84,2024-08-05,0.0,0.0,0.0,5334.0,2865.0,112031.45,0.0,22178.97,12082.55
85,2024-08-12,0.0,0.0,0.0,6281.0,11569.0,109985.07,1.0,21079.21,17286.42
86,2024-08-19,0.0,0.0,0.0,7660.0,1135.0,104571.38,0.0,25945.26,11548.83
87,2024-08-26,0.0,8689.0,0.0,7186.0,5682.0,115300.11,0.0,22281.43,13722.78
88,2024-09-02,0.0,7597.0,0.0,9070.0,6319.0,115506.93,0.0,24078.05,14623.87
89,2024-09-09,0.0,0.0,0.0,8508.0,6078.0,115711.98,0.0,25273.53,14968.96
90,2024-09-16,0.0,10362.0,0.0,7832.0,12695.0,123736.71,0.0,22514.35,17687.01
91,2024-09-23,0.0,8709.0,0.0,5770.0,5824.0,122135.07,0.0,20938.33,15722.22
92,2024-09-30,0.0,0.0,0.0,7122.0,4967.0,115375.27,0.0,24193.58,14670.19
93,2024-10-07,0.0,0.0,0.0,9422.0,4527.0,121510.33,0.0,26697.18,13703.94
94,2024-10-14,0.0,0.0,0.0,9109.0,4212.0,116510.71,0.0,26875.66,13151.35
95,2024-10-21,0.0,0.0,0.0,10420.0,11621.0,124212.89,1.0,25890.12,17408.38
96,2024-10-28,0.0,0.0,0.0,10770.0,3632.0,122644.85,1.0,28283.89,14107.91
97,2024-11-04,0.0,0.0,10066.0,7692.0,6522.0,131895.78,0.0,23385.77,14896.85
98,2024-11-11,0.0,10424.0,7733.0,6507.0,3686.0,137653.06,0.0,21415.27,12833.24
99,2024-11-18,0.0,11707.0,0.0,9621.0,6121.0,137478.95,0.0,24468.29,14304.76
100,2024-11-25,0.0,0.0,0.0,9801.0,11071.0,131472.2,0.0,25764.59,17466.76
101,2024-12-02,0.0,12938.0,0.0,9102.0,4821.0,125860.26,1.0,24252.03,14726.75
102,2024-12-09,42127.0,12684.0,0.0,9254.0,7335.0,153474.4,0.0,22732.2,15199.29
103,2024-12-16,37088.0,10227.0,0.0,10020.0,4879.0,155407.01,0.0,23410.86,13916.7
104,2024-12-23,37035.0,11005.0,0.0,17848.0,4701.0,161192.88,1.0,27018.07,13298.21
105,2024-12-30,0.0,0.0,0.0,9343.0,11912.0,148549.1,1.0,25704.92,17614.8
106,2025-01-06,0.0,0.0,0.0,7727.0,5678.0,129844.53,1.0,25037.42,15709.54
107,2025-01-13,0.0,11817.0,0.0,8657.0,5071.0,136203.83,0.0,23752.59,14241.52
108,2025-01-20,0.0,12633.0,8034.0,8686.0,5289.0,139836.25,0.0,23143.04,13923.69
109,2025-01-27,0.0,0.0,8827.0,7751.0,5876.0,129363.43,0.0,23181.28,14446.16
110,2025-02-03,0.0,8363.0,0.0,9074.0,6556.0,127721.48,0.0,24196.5,14965.12
111,2025-02-10,0.0,10216.0,0.0,8612.0,7852.0,130771.58,0.0,23593.67,15795.24
112,2025-02-17,0.0,0.0,0.0,9904.0,6405.0,124391.41,0.0,26351.26,15477.8
113,2025-02-24,0.0,0.0,0.0,8279.0,5882.0,115239.5,0.0,25286.02,15053.79
114,2025-03-03,0.0,8686.0,0.0,8927.0,6840.0,117274.61,0.0,23999.89,15214.28
115,2025-03-10,0.0,9689.0,8178.0,8564.0,12579.0,125476.27,0.0,22778.72,17553.67
116,2025-03-17,0.0,0.0,6185.0,7220.0,4976.0,117833.58,0.0,22981.63,15266.16
117,2025-03-24,0.0,8728.0,0.0,7390.0,3440.0,123491.27,0.0,22836.28,12866.84
118,2025-03-31,0.0,9411.0,0.0,6031.0,5517.0,117798.99,0.0,21010.49,13890.88
119,2025-04-07,27939.0,0.0,0.0,5386.0,6132.0,133434.11,0.0,19081.72,14343.52
120,2025-04-14,27478.0,0.0,0.0,8994.0,10994.0,131951.25,0.0,22432.68,16814.69
121,2025-04-21,31795.0,0.0,6113.0,5438.0,6553.0,137948.45,1.0,19328.34,15502.42
122,2025-04-28,0.0,0.0,7147.0,3460.0,3002.0,133443.04,1.0,17114.25,12794.53
123,2025-05-05,25526.0,0.0,0.0,4380.0,3108.0,129540.5,0.0,17218.8,11365.77
124,2025-05-12,29039.0,0.0,0.0,2933.0,3244.0,128083.69,0.0,14598.18,11094.31
125,2025-05-19,27863.0,0.0,0.0,3801.0,12467.0,130650.54,0.0,15808.7,17009.13
126,2025-05-26,0.0,0.0,0.0,5134.0,3747.0,121051.41,1.0,20912.81,14443.87
127,2025-06-02,0.0,0.0,0.0,4872.0,5510.0,115022.89,0.0,20302.48,14628.95
128,2025-06-09,0.0,5921.0,0.0,8775.0,4179.0,108782.97,1.0,23758.6,13093.64
129,2025-06-16,0.0,9772.0,0.0,6002.0,4403.0,112773.23,1.0,20942.38,12934.17
130,2025-06-23,0.0,0.0,0.0,3277.0,13087.0,109989.63,0.0,16583.68,18149.27
131,2025-06-30,0.0,0.0,0.0,4447.0,4833.0,110593.97,0.0,19454.44,15479.39
132,2025-07-07,0.0,0.0,0.0,4833.0,4232.0,109693.99,0.0,20474.1,13893.39
133,2025-07-14,0.0,0.0,0.0,6327.0,3976.0,95562.74,0.0,22788.7,12968.83
134,2025-07-21,0.0,8871.0,0.0,7648.0,5417.0,104505.36,0.0,22483.15,13708.61
135,2025-07-28,0.0,10038.0,5657.0,5631.0,7749.0,112922.65,0.0,19890.58,15394.48
136,2025-08-04,0.0,0.0,6453.0,12189.0,5182.0,122770.11,0.0,26318.75,14309.21
137,2025-08-11,0.0,0.0,0.0,5521.0,5475.0,110028.68,1.0,22393.68,14589.12
138,2025-08-18,0.0,0.0,0.0,8082.0,5978.0,115854.17,0.0,24532.08,14802.03
139,2025-08-25,0.0,0.0,0.0,7125.0,4707.0,109754.29,0.0,24259.86,13981.95
140,2025-09-01,0.0,0.0,0.0,6586.0,12337.0,113876.67,0.0,21992.41,17891.45
141,2025-09-08,0.0,0.0,0.0,8891.0,5214.0,117982.56,0.0,25793.42,15448.06
142,2025-09-15,0.0,0.0,7655.0,5247.0,4600.0,128021.63,0.0,20668.35,13966.39
143,2025-09-22,0.0,8682.0,8098.0,9761.0,6404.0,136194.1,0.0,23900.35,14624.03
144,2025-09-29,0.0,9753.0,0.0,13619.0,6749.0,137419.97,0.0,27277.18,15089.78
145,2025-10-06,0.0,0.0,0.0,7897.0,8137.0,135595.04,0.0,25160.81,16441.81
146,2025-10-13,0.0,0.0,0.0,7909.0,4572.0,132877.61,0.0,25842.46,14480.59
147,2025-10-20,0.0,0.0,0.0,7023.0,6437.0,125950.25,1.0,24069.97,15274.59
148,2025-10-27,0.0,0.0,8465.0,7225.0,5839.0,122011.92,1.0,22690.9,14685.87
149,2025-11-03,0.0,0.0,8671.0,8737.0,3052.0,136152.0,0.0,24689.06,12189.41
150,2025-11-10,0.0,0.0,0.0,9049.0,11621.0,139986.06,0.0,25139.71,17516.39
151,2025-11-17,0.0,0.0,0.0,12308.0,4480.0,131994.51,0.0,29316.88,14701.35
152,2025-11-24,0.0,10419.0,9563.0,13290.0,6961.0,142921.95,0.0,26565.03,15100.72
153,2025-12-01,0.0,10553.0,9696.0,7610.0,6329.0,146834.31,0.0,22941.18,14947.97
154,2025-12-08,0.0,0.0,0.0,9393.0,8186.0,135273.97,1.0,25926.53,16359.93
155,2025-12-15,0.0,0.0,8732.0,9315.0,10608.0,139122.44,0.0,24399.77,17297.7
156,2025-12-22,0.0,0.0,8582.0,9662.0,4335.0,127536.32,1.0,25274.33,14539.57
