week,TV,Radio,Print,Paid Search,Paid Social,baseline,noise
29,11249.638,3673.7997,6059.6221,13060.0001,7727.6321,72119.7243,-2426.4514
30,6425.6193,1664.4416,6807.0734,14196.3313,9976.5246,72786.7551,2749.5735
31,3423.8644,666.1587,7049.7296,12778.5593,9422.5357,73717.5353,-770.1484
32,1751.2484,252.017,7143.5433,16357.7409,9412.1971,74903.8869,728.3012
33,876.1606,93.2238,4684.0985,15426.732,9026.107,72326.4244,1399.8959
34,433.3939,34.1933,2615.3992,14128.0424,8367.1686,77955.0267,624.6706
35,17703.8865,6105.6828,5773.8321,16183.8612,9959.412,79749.8874,1070.3178
36,24516.8736,6984.584,7290.5368,15347.8359,9279.9463,81663.0915,1184.9979
37,26882.6067,4043.8963,4830.8249,15960.9349,9386.45,83640.6393,-4229.3198
38,28262.2013,6829.1197,2721.4299,13354.5292,9803.9923,85624.81,-902.3726
39,29361.8423,7688.8244,1358.5647,15128.0226,9566.8897,87556.7404,217.7045
40,30138.241,4731.3427,631.7396,18222.2556,10668.0638,89379.0811,-5232.489
41,23966.4776,6908.2344,283.4063,16004.8735,10210.4167,91038.5859,6961.6729
42,27225.5732,7450.529,125.0273,16734.6203,9272.927,92488.4977,3511.9007
43,28945.108,4489.2611,54.7434,16107.2426,9664.0896,89690.6013,-3990.7427
44,29732.2477,2149.0085,6364.9964,17435.9273,9389.8861,90616.8353,-13.6383
45,23445.962,884.9818,7609.598,16556.4694,10365.9691,95250.3769,5103.3832
46,16369.7974,338.8682,5160.1885,16143.1083,9989.4391,95586.1473,1052.5586
47,10123.2674,125.9376,2966.4852,16566.1556,9171.3689,95630.7128,-802.2495
48,5686.7172,46.2728,6502.0015,18153.5968,10001.7509,95401.5944,711.6569
49,21571.2297,16.93,7685.9463,16467.4998,9142.7191,90926.0297,4288.1033
50,26250.7464,6.1846,7981.034,16667.4021,11159.2376,94239.2625,-3200.9012
51,28695.7684,6687.3796,8318.0289,16944.5518,10594.2509,93382.4596,5289.9981
52,29584.7147,7278.7011,5949.6025,17073.9665,10318.3414,88400.3772,-553.9241
53,30210.3818,4320.8649,7445.6994,15869.2472,9244.4891,87338.9098,4930.7154
54,30359.3279,7138.2101,8041.1409,15217.3437,9363.1471,90242.6619,1025.039
55,24253.6365,7518.791,5630.9818,16133.8363,9800.9055,89152.6793,5729.7783
56,28010.2361,4557.5714,7019.6766,18961.8577,9836.0183,88104.4656,1848.3771
57,27654.4042,2192.1019,7585.832,17164.2587,9097.7892,87126.3948,135.0194
58,28805.3606,905.0569,5135.1249,16697.0273,10151.3211,86238.6031,2383.0091
59,29229.6602,346.9418,2947.4851,15488.3154,9223.8553,85452.4166,-4409.3121
60,29098.3739,128.9942,6061.2748,14983.8869,10609.2417,84770.3402,-5548.0878
61,29138.2043,47.4036,7313.0761,15397.5198,8971.7393,84186.598,-390.3971
62,22699.8451,17.3447,8066.7465,14992.9646,9596.3159,83688.1851,247.459
63,26568.3245,6.3363,7892.499,14837.2638,8689.9631,83256.3583,-2592.5491
64,26883.2363,2.3134,5465.3858,17899.1225,9046.5549,82868.4705,3419.6109
65,27239.0447,5553.2577,3202.6893,14699.5957,9396.4299,82500.0312,3911.4579
66,20430.9873,6395.6308,1641.4506,12528.5669,8875.6999,78126.863,-2606.4924
67,13521.5143,3528.4589,774.2951,13940.5817,8599.5298,81727.2197,-3592.6633
68,7994.1649,1583.4759,349.7769,12836.1898,8887.7133,81283.7322,-3307.5491
69,4354.6975,630.7902,154.7973,15464.9516,8263.3379,80785.0615,359.6818
70,2255.3936,5147.4409,67.8739,14719.0374,10236.5628,76227.1518,-3989.0536
71,1135.8688,6282.0169,29.6385,13478.783,9145.8754,75614.0048,4028.6574
72,563.75,3434.5645,12.9189,17116.2391,7974.5311,78957.9212,-2834.3873
73,15862.0392,1531.979,5.6267,14244.3711,7811.7082,74279.1895,1427.2574
74,19503.2997,608.4661,2.4498,14483.7987,7806.5075,73605.234,-4798.1157
75,23565.8299,229.465,1.0665,12991.0623,10036.0144,76969.2661,-8526.9546
76,16489.5243,5365.7676,0.4642,13983.0033,8733.1045,76408.5144,1336.7533
77,10217.0615,6084.7678,0.2021,13761.1885,7940.7077,75962.1322,-2170.9843
78,5747.3131,3275.5063,0.088,14379.2825,9251.6791,75668.9044,1872.9096
79,16541.0309,1446.1552,0.0383,13713.586,8497.027,75564.8838,3060.4626
80,22182.7744,571.5541,0.0167,17628.386,8982.6488,75681.0982,1284.5918
81,24895.6718,5596.213,0.0073,15468.5363,8370.5682,76041.4608,1797.3614
82,17853.8623,6795.1191,0.0032,13539.486,8901.9214,76661.0115,5826.0029
83,11312.1273,3872.6076,0.0014,14623.026,9219.9591,77544.5935,-3850.6395
84,6467.34,1777.7293,0.0006,13910.5591,7688.4237,78686.0504,3501.3494
85,3448.0967,716.2082,0.0003,14567.6065,10866.9287,76067.9964,4318.2288
86,1764.2138,271.6974,0.0001,15581.0515,7558.707,81662.1816,-2266.4673
87,882.7968,5586.107,0.0,15428.0885,8855.3138,83430.4409,1117.3613
88,436.7139,6351.3486,0.0,16449.6566,9436.4909,85326.1813,-2493.4657
89,214.8018,3491.6603,0.0,16307.6443,9494.2855,87296.3322,-1092.7456
90,105.352,6638.0513,0.0,15925.6173,11302.0784,89283.6567,481.9535
91,51.5988,6997.0545,0.0,14510.9061,10132.5564,91229.3018,-786.3513
92,25.2544,4055.3618,0.0,15236.0721,9270.2383,93075.4503,-6287.1108
93,12.3563,1884.5464,0.0,16597.0898,8725.8786,94767.9339,-477.4731
94,6.0446,764.0096,0.0,16622.9733,8361.7506,96258.6648,-5502.7284
95,2.9568,290.5951,0.0,17195.089,10948.2342,93507.7571,2268.2606
96,1.4462,107.7171,0.0,17408.6984,9087.5675,94485.2255,1554.1928
97,0.7074,39.5397,6402.3749,16055.633,9576.0418,99172.1696,649.3142
98,0.346,6144.0361,7240.2856,15067.0251,8382.8952,99561.3865,1257.0858
99,0.1692,7495.1545,4780.3185,16672.1992,9240.197,99657.3805,-366.473
100,0.0828,4533.8256,2684.7187,16944.3606,10940.9838,99475.777,-3107.5525
101,0.0405,7414.7802,1337.5877,16673.5283,9590.3897,95042.1784,-4198.243
102,20725.4301,8015.138,621.33,16701.5601,9998.0874,98390.5317,-977.679
103,26024.8728,7837.6902,278.5957,17041.4036,9175.7884,97561.1043,-2512.4473
104,28188.3489,7893.9301,122.8769,19342.3387,8783.2512,92598.1857,4263.9467
105,21543.5884,4948.1041,53.7963,17296.6278,11059.1144,91547.6471,2100.2255
106,14537.3688,2446.5727,23.4757,16050.9174,9962.1748,90454.4991,-3630.4759
107,8731.696,6853.9734,10.2297,16324.1967,9247.2367,93360.5841,1675.9146
108,4806.8851,7845.4515,5597.4363,16378.1165,9094.5644,92302.5335,3811.2611
109,2504.9103,4896.1445,7262.931,15892.0783,9312.1705,91310.101,-1814.9021
110,1265.6844,6377.8333,4803.034,16508.6541,9647.3743,90404.9641,-1286.0612
111,629.2382,7253.0835,2701.2019,16369.166,10178.568,89600.0518,4040.2739
112,310.2639,4296.1846,1346.996,16947.9745,9853.0241,88899.4325,2737.5329
113,152.3588,2029.3872,625.9961,16274.0171,9546.8422,88298.7575,-1687.8628
114,74.6664,5874.5472,280.7514,16489.2746,9815.4471,87786.2246,-3046.3035
115,36.5554,6990.8932,5742.6799,16342.0932,11326.9171,87343.9965,-2306.8662
116,17.8882,4049.694,6510.381,15576.4087,9863.5922,86949.9819,-5134.3615
117,8.7514,6282.4704,4085.5401,15553.1828,8374.847,86579.8638,2606.6129
118,4.2809,7044.6414,2201.6371,14635.3351,8958.0194,86209.2493,-1254.1711
119,15095.5626,4099.3352,1069.0861,13957.3767,9384.5229,85815.8042,4012.4228
120,21415.2176,1910.642,489.9994,16260.32,10946.1176,85381.2397,-4452.2894
121,25166.9187,775.7789,4809.5301,14325.4484,10193.3045,80893.0259,1784.4431
122,18140.5317,295.2633,6507.3505,11907.7367,8293.3741,80345.7241,7953.0582
123,22110.0343,109.475,4082.799,12561.5294,7472.0647,83741.852,-537.2516
124,24849.7105,40.1887,2199.8086,10803.4974,7294.1516,83092.2233,-195.8929
125,25957.9365,14.6992,1068.0957,11723.7092,11028.9853,82415.7364,-1558.6247
126,18993.4927,5.3691,489.5214,13321.2533,9191.9258,77738.617,1311.2323
127,12265.4573,1.9601,218.101,13275.4516,9178.7891,81093.1544,-1010.0192
128,7113.6186,4317.6353,95.9185,16086.7813,8503.2171,76516.0006,-3850.1989
129,3827.098,6637.7854,41.9403,14717.4439,8401.5191,76046.1277,3101.3161
130,1968.095,3734.3915,18.2917,11774.22,11249.4141,79722.5611,1522.654
131,987.4477,1698.6542,7.9688,12618.1284,9766.978,79582.0183,5932.7774
132,489.1453,681.2041,3.4699,13135.8371,8766.4249,79656.5936,6961.3181
133,240.7528,257.9217,1.5106,14507.615,8234.3965,79971.6218,-7651.083
134,118.1192,5650.9896,0.6576,15566.6259,8873.8732,80543.8514,-6248.7549
135,57.8613,7013.6426,4371.1009,14330.535,9973.7946,81380.0364,-4204.3226
136,28.3218,4070.6503,6111.1076,17648.4593,9300.2787,82476.0343,3135.254
137,13.8577,1893.6016,3733.8307,14759.7442,9196.1971,79816.471,614.9738
138,6.7792,768.0895,1971.7031,15850.8027,9384.0284,85374.9987,2497.77
139,3.3161,292.2127,946.0134,15433.1799,8859.2192,87115.1419,-2894.7899
140,1.622,108.3261,430.9626,15011.2133,11154.0491,88991.693,-1821.2003
141,0.7934,39.7645,191.4706,16313.0094,9850.425,90952.5859,634.5089
142,0.3881,14.5438,5486.1144,14184.0693,8985.2242,92941.1504,6410.1356
143,0.1898,5537.9124,7024.9135,16654.6273,9503.3956,94898.6298,2574.427
144,0.0928,6916.2955,4567.8955,18289.9889,9770.7629,96766.8248,1108.1086
145,0.0454,3981.5346,2532.7494,16369.3444,10294.7763,98490.7236,3925.8704
146,0.0222,1841.0804,1251.6274,15978.4076,9165.2037,100020.9768,4620.2958
147,0.0109,744.486,578.9009,15390.6571,9562.5285,97316.0832,2357.584
148,0.0053,282.8646,5935.4015,15423.5426,9434.9438,98344.172,-7409.0148
149,0.0026,104.8081,7326.6369,16282.6641,7921.2466,103084.2852,1432.3526
150,0.0013,38.4659,4867.3332,16549.161,10901.5331,103527.0961,4102.47
151,0.0006,14.0678,2748.1076,17873.9959,9432.0125,103675.0278,-1748.7042
152,0.0003,6138.1722,6782.5951,18329.8659,9828.2843,103541.773,-1698.7414
153,0.0001,7257.8361,7847.3127,16234.0956,9710.7064,103151.2457,2633.1084
154,0.0001,4300.7551,5415.7735,16703.4364,10294.8192,98536.0303,23.1524
155,0.0,2032.1823,7182.9872,16733.8778,11029.6375,101735.4198,408.3394
156,0.0,831.0745,7752.6377,16892.8911,9445.2628,96793.1576,-4178.7071
