week_start,t,revenue,promo_flag,holiday_flag,advent_flag,jan_dip_flag,spend_tv,spend_radio,spend_print,spend_paid_search,spend_paid_social
2022-09-19,38,83513.9839630628,0,0,0,0,0,0,0,2564,2015
2022-09-26,39,84839.50277187144,0,0,0,0,0,0,0,2609,2068
2022-10-03,40,80592.23676597893,0,0,0,0,0,0,0,2233,1881
2022-10-10,41,75588.32678894726,0,0,0,0,0,0,0,2433,2198
2022-10-17,42,87542.9848998802,0,0,0,0,0,0,0,2457,3709
2022-10-24,43,79523.44035807902,0,1,0,0,0,0,0,2480,2583
2022-10-31,44,73379.92330300478,0,1,0,0,0,0,0,2633,1563
2022-11-07,45,77631.1340845267,0,0,0,0,0,0,0,2418,1726
2022-11-14,46,77554.98190350474,0,0,0,0,0,0,0,2358,1815
2022-11-21,47,99958.04202566105,1,0,0,0,7096,3473,4470,2748,1797
2022-11-28,48,141862.1830674969,1,0,1,0,7368,3712,4089,2444,3450
2022-12-05,49,137444.15808646873,1,1,1,0,0,3321,6214,2378,2733
2022-12-12,50,141291.4987585863,1,0,1,0,8540,0,5085,2102,1886
2022-12-19,51,136315.51251115557,1,1,1,0,8875,0,0,2232,2199
2022-12-26,52,86944.04925520642,0,1,0,0,0,0,0,2460,1557
2023-01-02,53,84054.64572204216,0,1,0,0,0,0,0,2560,1780
2023-01-09,54,72128.10804525309,0,0,0,1,0,0,0,2148,3862
2023-01-16,55,68857.99099044316,0,0,0,1,0,0,0,2502,2307
2023-01-23,56,65292.098326571875,0,0,0,1,0,0,0,2571,1497
2023-01-30,57,73681.58619398475,0,0,0,1,0,0,0,2403,2651
2023-02-06,58,77300.46341031734,0,0,0,0,0,0,0,2516,2131
2023-02-13,59,77022.83933027831,0,0,0,0,0,0,0,2787,1760
2023-02-20,60,89744.6850433899,1,0,0,0,0,0,0,2354,3745
2023-02-27,61,79132.34854997878,0,0,0,0,0,0,0,2165,1800
2023-03-06,62,85230.99711579108,0,0,0,0,8274,0,0,2428,1546
2023-03-13,63,82540.45327920488,0,0,0,0,8784,0,3696,2327,2058
2023-03-20,64,89279.2192256669,0,0,0,0,0,3709,5040,2494,2259
2023-03-27,65,93021.99510210064,0,0,0,0,0,3882,0,2643,2335
2023-04-03,66,109727.78132140092,1,0,0,0,0,3607,0,2682,3078
2023-04-10,67,94944.26647269966,0,1,0,0,0,0,0,2568,1701
2023-04-17,68,91824.5307819763,0,0,0,0,7810,0,0,2784,1938
2023-04-24,69,91076.18840186759,0,0,0,0,7829,0,0,2576,2329
2023-05-01,70,107393.69904478625,1,1,0,0,0,0,5184,2709,2409
2023-05-08,71,98523.04889344612,0,0,0,0,0,0,4579,2574,1873
2023-05-15,72,100761.07885250948,0,1,0,0,0,3084,0,2558,3219
2023-05-22,73,98836.18954192325,0,0,0,0,0,3079,0,2402,2177
2023-05-29,74,104347.74505485292,1,1,0,0,8840,3505,0,2504,1849
2023-06-05,75,87360.74857334609,0,1,0,0,7758,0,0,2388,2133
2023-06-12,76,86060.84326034828,0,0,0,0,0,0,0,2444,2330
2023-06-19,77,82839.78086216081,0,0,0,0,0,0,0,2517,2192
2023-06-26,78,82212.3549995347,0,0,0,0,0,0,0,2734,3283
2023-07-03,79,77800.00084982182,0,0,0,0,0,0,0,2452,1612
2023-07-10,80,78679.41888233053,0,0,0,0,0,0,0,2627,1527
2023-07-17,81,65955.20647076528,0,0,0,0,0,0,0,2255,2234
2023-07-24,82,76734.84306882609,0,0,0,0,0,0,0,2445,2356
2023-07-31,83,73429.73836273765,0,0,0,0,0,0,0,2758,1672
2023-08-07,84,78121.2196927837,0,0,0,0,0,0,0,2572,3428
2023-08-14,85,70116.30463308068,0,1,0,0,0,0,0,2139,1699
2023-08-21,86,74259.29108190705,0,0,0,0,0,0,0,2496,1949
2023-08-28,87,88862.62186431968,0,0,0,0,0,0,4956,2453,1724
2023-09-04,88,111722.78199920488,1,0,0,0,8584,0,4575,2265,1723
2023-09-11,89,101721.57058684003,0,0,0,0,9198,0,0,2151,2387
2023-09-18,90,90519.18297561418,0,0,0,0,0,0,0,2312,3880
2023-09-25,91,89717.45944772544,0,0,0,0,0,0,0,2289,1999
2023-10-02,92,82126.33748572605,0,0,0,0,0,0,0,2645,2348
2023-10-09,93,81630.53526499654,0,0,0,0,0,0,0,2618,1800
2023-10-16,94,80644.61917476883,0,0,0,0,0,0,0,2631,2134
2023-10-23,95,82175.25278743786,0,1,0,0,0,0,0,2719,1691
2023-10-30,96,78141.34836391007,0,1,0,0,0,0,0,2066,3350
2023-11-06,97,82385.55801390544,0,0,0,0,0,0,0,2447,2291
2023-11-13,98,82741.4558700236,0,0,0,0,0,0,0,2571,1605
2023-11-20,99,101204.07214295943,1,0,0,0,8638,3254,4430,2369,1852
2023-11-27,100,145756.91766560322,1,0,1,0,7254,3473,4913,2377,1613
2023-12-04,101,152225.6933437008,1,1,1,0,0,2820,5967,2343,1586
2023-12-11,102,148148.47859499243,1,0,1,0,7749,0,4875,2536,3581
2023-12-18,103,143862.00628860274,1,0,1,0,8039,0,0,2491,1996
2023-12-25,104,93329.21539661499,0,1,0,0,0,0,0,2749,1499
2024-01-01,105,91771.69432579378,0,1,0,0,0,0,0,2581,2652
2024-01-08,106,70558.84382650786,0,0,0,1,0,0,0,2545,2451
2024-01-15,107,67299.05010420633,0,0,0,1,0,0,0,2498,1684
2024-01-22,108,74139.4742977436,0,0,0,1,0,0,0,2345,3698
2024-01-29,109,72335.03835590514,0,0,0,1,0,0,0,2527,2016
2024-02-05,110,85396.48847694982,0,0,0,0,0,0,0,2667,1768
2024-02-12,111,85803.06906115821,0,0,0,0,0,0,0,2597,1560
2024-02-19,112,87618.83611651968,1,0,0,0,0,0,0,2290,1970
2024-02-26,113,76003.58040855409,0,0,0,0,0,0,0,2201,1909
2024-03-04,114,90605.61886008871,0,0,0,0,9030,0,0,2643,3942
2024-03-11,115,94796.81219551324,0,0,0,0,7556,0,5462,2541,2015
2024-03-18,116,94614.91768023091,0,0,0,0,0,3525,4229,2561,1648
2024-03-25,117,94393.22249259075,0,0,0,0,0,3824,0,2332,1750
2024-04-01,118,110154.80668661141,1,1,0,0,0,3446,0,2652,1959
2024-04-08,119,95240.10068685093,0,0,0,0,0,0,0,2649,2270
2024-04-15,120,100234.62449845488,0,0,0,0,8011,0,0,2453,3199
2024-04-22,121,100613.46100612915,0,0,0,0,8286,0,0,2619,2047
2024-04-29,122,115533.72737613972,1,1,0,0,0,0,4630,2321,2377
2024-05-06,123,101120.35339573771,0,1,0,0,0,0,4839,2487,1514
2024-05-13,124,103244.04258281115,0,0,0,0,0,3472,0,2104,2414
2024-05-20,125,103339.21278811147,0,1,0,0,0,3400,0,2447,1797
2024-05-27,126,117364.60343465998,1,1,0,0,8268,3310,0,2996,3553
2024-06-03,127,90243.2322553823,0,0,0,0,7315,0,0,2646,1804
2024-06-10,128,94611.5489985731,0,0,0,0,0,0,0,2850,2087
2024-06-17,129,84307.0078700245,0,0,0,0,0,0,0,2623,2129
2024-06-24,130,86471.03922445858,0,0,0,0,0,0,0,2556,2139
2024-07-01,131,90586.49518632768,0,0,0,0,0,0,0,2553,2852
2024-07-08,132,91343.8539487214,0,0,0,0,0,0,0,2429,2796
2024-07-15,133,81250.42341798311,0,0,0,0,0,0,0,2655,1816
2024-07-22,134,74385.46232151231,0,0,0,0,0,0,0,2363,1562
2024-07-29,135,70758.21966766407,0,0,0,0,0,0,0,2520,1909
2024-08-05,136,75089.20470783737,0,0,0,0,0,0,0,3164,1754
2024-08-12,137,76026.34129371512,0,1,0,0,0,0,0,2612,1895
2024-08-19,138,84359.97870364488,0,0,0,0,0,0,0,2416,3568
2024-08-26,139,85065.87290037856,0,0,0,0,0,0,4597,2725,1792
2024-09-02,140,122934.35875053825,1,0,0,0,8824,0,4837,2599,2269
2024-09-09,141,110380.80922314731,0,0,0,0,7108,0,0,2459,1518
2024-09-16,142,90557.8725657178,0,0,0,0,0,0,0,2289,1814
2024-09-23,143,92419.23678174092,0,0,0,0,0,0,0,2479,1988
2024-09-30,144,89860.15983979013,0,0,0,0,0,0,0,2423,4009
2024-10-07,145,87546.33679004648,0,0,0,0,0,0,0,2522,1562
2024-10-14,146,83016.96527623995,0,0,0,0,0,0,0,2588,1596
2024-10-21,147,84616.80591209776,0,1,0,0,0,0,0,2569,2147
2024-10-28,148,78309.54346222935,0,1,0,0,0,0,0,2324,2008
2024-11-04,149,82465.15462338823,0,0,0,0,0,0,0,2615,1536
2024-11-11,150,80736.86761521132,0,0,0,0,0,0,0,2593,3945
2024-11-18,151,107497.65662296147,1,0,0,0,7900,3534,5917,2217,2065
2024-11-25,152,110369.71531421044,1,0,0,0,8149,3017,5097,2576,1883
2024-12-02,153,153372.61446585652,1,1,1,0,0,3540,5717,2493,1882
2024-12-09,154,157430.98875078832,1,0,1,0,7471,0,5132,2586,2018
2024-12-16,155,149093.6271001945,1,0,1,0,7216,0,0,2290,1873
2024-12-23,156,133353.70722424946,0,1,1,0,0,0,0,2443,3689
