week,week_start,channel,median,lo,hi,revenue
9,2016-01-18,Print,43918.40529298877,3836.2385121096254,153515.66366754475,2012520.0
9,2016-01-18,Facebook,83591.38624490343,18105.43577747092,172018.3978030577,2012520.0
9,2016-01-18,Search,35696.548488271714,2690.647597233821,165999.24112094886,2012520.0
10,2016-01-25,Baseline,1543773.396500134,,,1738911.66666667
10,2016-01-25,TV,1551.457074895508,15.963050782342892,22357.26206569467,1738911.66666667
10,2016-01-25,Out-of-home,31555.79921644231,162.61149659320677,149976.4948846445,1738911.66666667
10,2016-01-25,Print,82000.9343781858,17546.262476761145,173817.37958207357,1738911.66666667
10,2016-01-25,Facebook,75779.31712837113,15690.885342679534,160958.76113849113,1738911.66666667
10,2016-01-25,Search,33508.683703222254,2438.620056261638,162919.64062031262,1738911.66666667
11,2016-02-01,Baseline,1515697.5211637404,,,1772306.66666667
11,2016-02-01,TV,139798.93363894458,50168.21940856935,256253.3598466464,1772306.66666667
11,2016-02-01,Out-of-home,52678.2821520656,3366.9867993543367,163956.029767032,1772306.66666667
11,2016-02-01,Print,24395.53866423652,1003.443795590508,127513.41659643466,1772306.66666667
11,2016-02-01,Facebook,26683.142832635396,1356.258645444485,102557.806451978,1772306.66666667
11,2016-02-01,Search,30512.867362445948,2072.5533216911576,157661.11128481978,1772306.66666667
12,2016-02-08,Baseline,1590299.7775827684,,,1809058.33333333
12,2016-02-08,TV,29335.645337305374,3362.827203436769,107677.7584163111,1809058.33333333
12,2016-02-08,Out-of-home,30472.224822600467,595.3332397137846,135774.00930351898,1809058.33333333
12,2016-02-08,Print,42618.60528963675,5409.564799669896,133395.29086809378,1809058.33333333
12,2016-02-08,Facebook,67123.51883635313,14042.802890476014,146171.2066427219,1809058.33333333
12,2016-02-08,Search,29184.893604124445,1917.331866124352,154854.38402112946,1809058.33333333
13,2016-02-15,Baseline,1567179.900683538,,,1952740.0
13,2016-02-15,TV,339274.184473353,238849.42696884504,441596.0157001089,1952740.0
13,2016-02-15,Out-of-home,17271.851793081198,92.25580945661544,114964.40624096888,1952740.0
13,2016-02-15,Print,30518.170435207885,2669.794456553978,120471.75989078112,1952740.0
13,2016-02-15,Facebook,47895.31811852067,7657.574284736357,119544.00939822516,1952740.0
13,2016-02-15,Search,10436.485943439107,101.80736463024742,122964.74193295192,1952740.0
14,2016-02-22,Baseline,1379734.293317104,,,1507805.0
14,2016-02-22,TV,104139.57171968884,27613.501649701997,220808.0396176781,1507805.0
14,2016-02-22,Out-of-home,9279.87028717878,12.610563942667548,97391.2909727367,1507805.0
14,2016-02-22,Print,7906.092634146875,68.09147912381188,91107.31170516057,1507805.0
14,2016-02-22,Facebook,14734.947670311249,454.1333442590224,77229.11202843902,1507805.0
14,2016-02-22,Search,3753.7670838086697,2.6835325968109216,98392.76169007826,1507805.0
15,2016-02-29,Baseline,1266931.076127376,,,1510391.66666667
15,2016-02-29,TV,273708.0981198539,177679.99355490462,378836.66843669466,1510391.66666667
15,2016-02-29,Out-of-home,4992.250221926213,1.8064815061425687,81651.99889474342,1510391.66666667
15,2016-02-29,Print,2175.207787981633,1.3095313976368943,71539.5510387861,1510391.66666667
15,2016-02-29,Facebook,47189.85808221084,7939.922017534241,118438.9151741552,1510391.66666667
15,2016-02-29,Search,17147.035690900193,758.7148920127271,117126.7030118138,1510391.66666667
16,2016-03-07,Baseline,1360124.5084723774,,,1588840.0
16,2016-03-07,TV,73294.9254523748,15607.729792914572,183154.11973403345,1588840.0
16,2016-03-07,Out-of-home,2516.300234391212,0.2095164978946847,65334.57272492023,1588840.0
16,2016-03-07,Print,94106.86230949212,19058.981472930514,186281.5991891207,1588840.0
16,2016-03-07,Facebook,14568.987060970803,560.3277364670648,71877.40464494916,1588840.0
16,2016-03-07,Search,24347.20565445333,1488.915071860952,134164.3239232299,1588840.0
17,2016-03-14,Baseline,1345039.9533775868,,,1605990.0
17,2016-03-14,TV,171030.01244101417,80328.59566050638,282994.6037405929,1605990.0
17,2016-03-14,Out-of-home,42101.27567227621,2391.3563611737663,139582.0572301757,1605990.0
17,2016-03-14,Print,28986.20165437648,1796.6118973238326,123557.21894956978,1605990.0
17,2016-03-14,Facebook,4055.626968189248,25.637797248986057,48758.87912178133,1605990.0
17,2016-03-14,Search,24126.667521510462,1392.92085355502,136751.1847456973,1605990.0
18,2016-03-21,Baseline,1249176.2917503845,,,1356010.0
18,2016-03-21,TV,38397.94591367718,5272.804917711205,125643.23881171049,1356010.0
18,2016-03-21,Out-of-home,22991.70513972416,445.2218436130004,109165.39605962268,1356010.0
18,2016-03-21,Print,8243.324024187066,34.35770946563596,92670.9084819936,1356010.0
18,2016-03-21,Facebook,1131.425671462402,1.2578636982911535,34867.352716839385,1356010.0
18,2016-03-21,Search,23652.95536549832,1300.5962889826662,136393.90445177403,1356010.0
19,2016-03-28,Baseline,1244592.8056519183,,,2103936.66666667
19,2016-03-28,TV,7151.470561066977,230.69269848485692,52265.15342855728,2103936.66666667
19,2016-03-28,Out-of-home,57106.91904252958,4951.4028546337495,162334.97613842858,2103936.66666667
19,2016-03-28,Print,84018.98719557427,17076.637344948074,172714.25673087835,2103936.66666667
19,2016-03-28,Facebook,91957.74889893872,21688.3351704965,181678.0401881262,2103936.66666667
19,2016-03-28,Search,25159.69207632458,1506.3977101144112,139113.7850918566,2103936.66666667
20,2016-04-04,Baseline,1070593.7411243366,,,1120835.0
20,2016-04-04,TV,1264.5128256967084,9.473631924480795,21271.069163424843,1120835.0
20,2016-04-04,Out-of-home,33174.22783378138,977.2505341745658,130657.8003672794,1120835.0
20,2016-04-04,Print,25057.32546477091,1243.887632094785,118324.04499104508,1120835.0
20,2016-04-04,Facebook,34381.03693710154,3025.2964161918603,100586.39899490868,1120835.0
20,2016-04-04,Search,21642.01369337557,1073.1804751275938,134157.09180377598,1120835.0
21,2016-04-11,Baseline,1076653.182772897,,,1141140.0
21,2016-04-11,TV,222.125542900276,0.4029576538523142,8452.770141730807,1141140.0
21,2016-04-11,Out-of-home,60583.69868804287,5378.2639838439645,167612.95669430023,1141140.0
21,2016-04-11,Print,7037.079568234992,23.62667263683965,89420.2417158768,1141140.0
21,2016-04-11,Facebook,10172.060593050634,170.8123437031264,64648.1642327437,1141140.0
21,2016-04-11,Search,20120.460664881157,946.8234156996248,130432.4220596818,1141140.0
22,2016-04-18,Baseline,1051545.699607078,,,1166880.0
22,2016-04-18,TV,102100.64056836542,26390.127990317484,217030.02405049573,1166880.0
22,2016-04-18,Out-of-home,35967.46608587421,1049.3037208530588,137111.4083022443,1166880.0
22,2016-04-18,Print,1923.0832293567964,0.3651543616938628,69826.31034978278,1166880.0
22,2016-04-18,Facebook,44611.871082522455,7018.141781090716,114056.45668581549,1166880.0
22,2016-04-18,Search,19158.594192707184,854.5511459061233,127379.76436742712,1166880.0
23,2016-04-25,Baseline,889138.6595638306,,,888806.666666667
23,2016-04-25,TV,19890.23666680677,1794.8046144516902,87283.55255839338,888806.666666667
23,2016-04-25,Out-of-home,20237.69055930419,179.5096003522897,111621.95999246616,888806.666666667
23,2016-04-25,Print,510.1136021554785,0.0057685984158741,53251.15590698757,888806.666666667
23,2016-04-25,Facebook,13674.818886827508,503.9987737505589,67459.45206094015,888806.666666667
23,2016-04-25,Search,18823.1777534313,842.0268526165355,125565.59869787745,888806.666666667
24,2016-05-02,Baseline,862412.3631113935,,,898873.333333333
24,2016-05-02,TV,3643.9965204614937,79.60953202928526,34602.73020945101,898873.333333333
24,2016-05-02,Out-of-home,11265.737682924968,25.936021329864676,90513.3285047074,898873.333333333
24,2016-05-02,Print,77225.43681564077,14504.2098654538,161859.00523702492,898873.333333333
24,2016-05-02,Facebook,3809.725263068821,22.777243555432097,44640.683541202,898873.333333333
24,2016-05-02,Search,15010.44220601493,522.2673266705543,115289.6331713353,898873.333333333
25,2016-05-09,Baseline,873450.7940478567,,,889373.333333334
25,2016-05-09,TV,650.6732091880604,3.1907071141143484,13074.349614217776,889373.333333334
25,2016-05-09,Out-of-home,47644.88515453794,3160.3485887647203,148875.4885135568,889373.333333334
25,2016-05-09,Print,22388.316320562088,998.2618215086376,112353.39560564692,889373.333333334
25,2016-05-09,Facebook,1061.2834504898728,1.0594319942425634,30715.57114114931,889373.333333334
25,2016-05-09,Search,14735.54921220665,527.5553416087794,112949.23232881776,889373.333333334
26,2016-05-16,Baseline,887031.4752593448,,,1915375.0
26,2016-05-16,TV,111.46619706065668,0.1376119575473646,4869.229659132126,1915375.0
26,2016-05-16,Out-of-home,27214.59921485618,610.550246200108,118688.24489799414,1915375.0
26,2016-05-16,Print,6231.460560794388,18.21746326936757,83928.28231216762,1915375.0
26,2016-05-16,Facebook,58862.27506552526,11217.296738406996,137059.3870568866,1915375.0
26,2016-05-16,Search,5002.432481329111,24.104860370815413,89674.97420845236,1915375.0
27,2016-05-23,Baseline,933364.1113152714,,,1006845.0
27,2016-05-23,TV,19.99124049933907,0.0058183219794174,1887.2316858367503,1006845.0
27,2016-05-23,Out-of-home,78726.76983906084,9741.793700138494,193586.4776908825,1006845.0
27,2016-05-23,Print,1658.5555478564156,0.2953928155500318,64338.4630426595,1006845.0
27,2016-05-23,Facebook,19127.057742174264,1053.9062369034757,74825.93392287014,1006845.0
27,2016-05-23,Search,1714.132292420147,0.720153310533045,69562.64397125016,1006845.0
28,2016-05-30,Baseline,831351.759227093,,,869198.333333334
28,2016-05-30,TV,3.5950867170501546,0.0002538691441123,754.7951173437494,869198.333333334
28,2016-05-30,Out-of-home,49699.48412852671,2352.7796244434103,158559.6584512116,869198.333333334
28,2016-05-30,Print,444.3546672385866,0.004755303177167,49346.92817794455,869198.333333334
28,2016-05-30,Facebook,5415.192551347471,50.508164768425154,47322.21345021976,869198.333333334
28,2016-05-30,Search,8999.737845000156,240.02430143278437,88272.27229086707,869198.333333334
29,2016-06-06,Baseline,711445.7803955701,,,727250.0
29,2016-06-06,TV,0.6373003426956045,1.0958511015818385e-05,293.46802953805286,727250.0
29,2016-06-06,Out-of-home,29336.67822914068,394.7268766773245,131991.35839119917,727250.0
29,2016-06-06,Print,109.32966293148478,6.963319585604835e-05,35754.21694685312,727250.0
29,2016-06-06,Facebook,1524.584965672053,2.483861711534231,33627.541518299186,727250.0
29,2016-06-06,Search,10332.628231913955,309.9974915288309,92698.9285988331,727250.0
30,2016-06-13,Baseline,715717.5986758559,,,753730.0
30,2016-06-13,TV,0.1132464469811174,4.565645739156053e-07,114.11992143570237,753730.0
30,2016-06-13,Out-of-home,16885.25941458527,65.27631420498511,108830.7138129458,753730.0
30,2016-06-13,Print,29.17990018327229,1.0876486946705329e-06,25897.388665787927,753730.0
30,2016-06-13,Facebook,413.3323135602852,0.1016962335785328,23047.937405129396,753730.0
30,2016-06-13,Search,13018.704508466111,466.776353619868,100643.44157563994,753730.0
31,2016-06-20,Baseline,814850.7473046108,,,999196.666666667
31,2016-06-20,TV,163638.70615133946,68077.19145538472,279635.8806722853,999196.666666667
31,2016-06-20,Out-of-home,77754.79022125833,9531.729479514008,192117.79213679605,999196.666666667
31,2016-06-20,Print,7.32898152845878,1.6177894921547098e-08,19628.7747469941,999196.666666667
31,2016-06-20,Facebook,42296.284665577565,5929.866442257726,112456.44634150846,999196.666666667
31,2016-06-20,Search,14913.631157781174,584.0310802140855,107018.18381436764,999196.666666667
32,2016-06-27,Baseline,759689.2522135578,,,845843.333333333
32,2016-06-27,TV,35893.89749783329,4646.374778114705,119312.76557448736,845843.333333333
32,2016-06-27,Out-of-home,48785.24244190153,2254.774226700275,157655.510430298,845843.333333333
32,2016-06-27,Print,1.884233947938493,2.4493927768195303e-10,13360.40382377304,845843.333333333
32,2016-06-27,Facebook,12825.104513746724,501.7350558695268,61707.76615727598,845843.333333333
32,2016-06-27,Search,14744.70913315885,554.1694652290644,108139.98391760411,845843.333333333
33,2016-07-04,Baseline,898365.4276493016,,,1126016.66666667
33,2016-07-04,TV,100270.68439955162,27694.86602931376,213281.23053572403,1126016.66666667
33,2016-07-04,Out-of-home,28817.831420428025,378.6594755709722,130774.77128197072,1126016.66666667
33,2016-07-04,Print,36702.85595954013,4210.481857230744,112637.39702774303,1126016.66666667
33,2016-07-04,Facebook,3514.022504013078,23.75598598960386,39428.45676090168,1126016.66666667
33,2016-07-04,Search,16472.784190081795,692.808775875099,112878.1899192918,1126016.66666667
34,2016-07-11,Baseline,961414.0829282438,,,1140978.33333333
34,2016-07-11,TV,19687.59461035844,1746.6843091841731,87239.9565489076,1140978.33333333
34,2016-07-11,Out-of-home,16392.004791133244,61.68232418480412,108038.10956709652,1140978.33333333
34,2016-07-11,Print,9129.124001692868,148.91729136701684,77904.98777698468,1140978.33333333
34,2016-07-11,Facebook,973.1105625683708,1.0922207929049892,26613.78213077889,1140978.33333333
34,2016-07-11,Search,18206.798036107684,820.494785891744,117495.32816103924,1140978.33333333
35,2016-07-18,Baseline,959641.6675187034,,,1242656.66666667
35,2016-07-18,TV,24990.962651821552,2327.639771885149,104181.58053486994,1242656.66666667
35,2016-07-18,Out-of-home,115291.55024601475,18364.546387867977,245409.2901093708,1242656.66666667
35,2016-07-18,Print,37149.239296486456,4406.74135799063,115641.48851967225,1242656.66666667
35,2016-07-18,Facebook,56812.615123706426,10411.848799227531,133755.3045582676,1242656.66666667
35,2016-07-18,Search,15577.255476626644,582.3955692440805,113564.914980157,1242656.66666667
36,2016-07-25,Baseline,1067175.8839676918,,,1293483.33333333
36,2016-07-25,TV,4537.4994558801445,136.25609427080252,38718.08717478858,1293483.33333333
36,2016-07-25,Out-of-home,81058.48973673236,7253.171979521794,206604.48325407825,1293483.33333333
36,2016-07-25,Print,9383.958405346188,144.75185572068744,83155.14375465162,1293483.33333333
36,2016-07-25,Facebook,18326.931249869973,974.817302328445,72914.91993067761,1293483.33333333
36,2016-07-25,Search,18352.16974454037,839.5416320975274,119213.61942073391,1293483.33333333
37,2016-08-01,Baseline,1089439.2465751977,,,1484843.33333333
37,2016-08-01,TV,205836.68884029615,104656.1335116712,316883.8869670581,1484843.33333333
37,2016-08-01,Out-of-home,102033.02949428116,14878.74383370416,228433.6895777053,1484843.33333333
37,2016-08-01,Print,2522.460066101441,2.8502241374431523,61984.4652279118,1484843.33333333
37,2016-08-01,Facebook,81529.06397463055,18847.998509695863,165766.7588602656,1484843.33333333
37,2016-08-01,Search,21289.41808704909,1136.481957320125,126351.85033613168,1484843.33333333
38,2016-08-08,Baseline,1220448.264672523,,,1485698.33333333
38,2016-08-08,TV,48632.00400827393,8134.372172362009,141538.75225072115,1485698.33333333
38,2016-08-08,Out-of-home,69891.76013795528,4282.904600230771,194808.22603363867,1485698.33333333
38,2016-08-08,Print,7455.847034843629,130.69769367174564,68664.37760235133,1485698.33333333
38,2016-08-08,Facebook,28933.251198806407,2211.826566463152,92082.54658817496,1485698.33333333
38,2016-08-08,Search,24078.76067273508,1399.3782025305504,133039.51630690478,1485698.33333333
39,2016-08-15,Baseline,1190073.2006971869,,,1556608.33333333
39,2016-08-15,TV,213316.05795819068,113707.08560650903,322452.12500930205,1556608.33333333
39,2016-08-15,Out-of-home,44437.31689020453,710.5069582148883,166304.34043557418,1556608.33333333
39,2016-08-15,Print,1798.2654098010016,3.2528397763400965,49744.61067953965,1556608.33333333
39,2016-08-15,Facebook,28628.39089871466,2849.3461834172786,89446.18917727891,1556608.33333333
39,2016-08-15,Search,8162.471057645951,79.06731804109228,100676.85555987412,1556608.33333333
40,2016-08-22,Baseline,1124123.0201967594,,,1391206.66666667
40,2016-08-22,TV,51083.11725476398,8711.46411764654,146921.17465454238,1391206.66666667
40,2016-08-22,Out-of-home,26638.3500720664,108.08154505285088,140335.3859506244,1391206.66666667
40,2016-08-22,Print,83227.81151314004,16366.642065549402,169989.36345245363,1391206.66666667
40,2016-08-22,Facebook,20822.25072670737,1505.2775790112562,77991.08175009962,1391206.66666667
40,2016-08-22,Search,2944.2185358180013,2.132531559390323,81276.15120487714,1391206.66666667
41,2016-08-29,Baseline,1521277.2584206655,,,2018783.33333333
41,2016-08-29,TV,190556.54208958105,95053.97792372406,302170.3537400456,2018783.33333333
41,2016-08-29,Out-of-home,89742.16654960331,12484.929859058122,209966.95343309364,2018783.33333333
41,2016-08-29,Print,24653.84042551937,1278.2370411387526,113644.4623383048,2018783.33333333
41,2016-08-29,Facebook,5821.721538811458,81.11900717119819,48485.33341923546,2018783.33333333
41,2016-08-29,Search,21220.38050748081,1212.7424659976166,120703.29913115525,2018783.33333333
42,2016-09-05,Baseline,1645048.3852394577,,,2170721.66666667
42,2016-09-05,TV,194115.2311488448,100302.03312832925,304392.19556355,2170721.66666667
42,2016-09-05,Out-of-home,88026.97587037337,11271.496660231292,209954.560260398,2170721.66666667
42,2016-09-05,Print,30713.57761928316,2851.339220188905,115530.31830612668,2170721.66666667
42,2016-09-05,Facebook,2971.558883229194,27.017158187940986,38023.60437739213,2170721.66666667
42,2016-09-05,Search,27816.65790601834,1955.564889101752,136462.45165938674,2170721.66666667
43,2016-09-12,Baseline,1850047.6277248613,,,2247670.0
43,2016-09-12,TV,45448.87247557661,7001.164943792313,138774.6769569339,2247670.0
43,2016-09-12,Out-of-home,102335.5743262332,15240.372048800273,229214.37734196623,2247670.0
43,2016-09-12,Print,7935.868105376678,75.56068729244872,85397.7390623669,2247670.0
43,2016-09-12,Facebook,807.7399648133584,1.2083061114137466,26273.111976573706,2247670.0
43,2016-09-12,Search,31930.04314904743,2401.4839735872283,146513.36570752205,2247670.0
44,2016-09-19,Baseline,1728739.1971741023,,,2192026.66666667
44,2016-09-19,TV,8444.811171529134,309.7226677492129,59595.27157130125,2192026.66666667
44,2016-09-19,Out-of-home,81254.44679192116,8055.269273321842,206129.69177581216,2192026.66666667
44,2016-09-19,Print,121037.2248158705,25218.34308002085,238250.1481387434,2192026.66666667
44,2016-09-19,Facebook,70025.55774724683,14606.900758979062,151209.04594995585,2192026.66666667
44,2016-09-19,Search,33703.88988652418,2672.493279315766,151582.50977244618,2192026.66666667
45,2016-09-26,Baseline,1647745.2996416278,,,1895213.33333333
45,2016-09-26,TV,1508.723123180503,12.450206940503149,24085.40268383248,1895213.33333333
45,2016-09-26,Out-of-home,101609.196410724,14772.785484178075,227278.21553132468,1895213.33333333
45,2016-09-26,Print,42737.516594355686,4015.199233378121,144018.83598789206,1895213.33333333
45,2016-09-26,Facebook,23612.303836276897,1570.4404937775787,81672.73806314095,1895213.33333333
45,2016-09-26,Search,31562.240586406144,2301.030774664652,152940.92342133418,1895213.33333333
46,2016-10-03,Baseline,1727594.4426137717,,,2232910.0
46,2016-10-03,TV,454691.3308998974,319759.90504081966,591606.7523534534,2232910.0
46,2016-10-03,Out-of-home,101432.38109557531,14317.424582644291,227779.6693307952,2232910.0
46,2016-10-03,Print,75053.72306746768,15270.136495961218,164046.66519216247,2232910.0
46,2016-10-03,Facebook,58800.14828380272,11531.562439965932,134386.93910793922,2232910.0
46,2016-10-03,Search,33890.80933745229,2616.6831201622385,156459.8202726411,2232910.0
47,2016-10-10,Baseline,2053182.72629446,,,2406035.0
47,2016-10-10,TV,191699.35644298745,70019.67160735733,331509.16942700354,2406035.0
47,2016-10-10,Out-of-home,69304.79970352974,3844.713320893028,197203.31805772815,2406035.0
47,2016-10-10,Print,83846.77104336077,18011.89949756086,174623.89183654028,2406035.0
47,2016-10-10,Facebook,73723.5678344192,16158.355715123836,153902.41323926306,2406035.0
47,2016-10-10,Search,38670.85673838967,3228.399559485201,163307.34824853978,2406035.0
48,2016-10-17,Baseline,1857570.4340108945,,,2252445.0
48,2016-10-17,TV,382134.727354915,271708.3746786991,492904.7901893848,2252445.0
48,2016-10-17,Out-of-home,61578.10889567986,3869.5093509802414,183310.660766516,2252445.0
48,2016-10-17,Print,25161.30549023256,1070.8099670652996,126115.68635635584,2252445.0
48,2016-10-17,Facebook,96095.77745956856,23029.75782588131,187106.8888073724,2252445.0
48,2016-10-17,Search,38700.10728507525,3199.042582488628,166284.78109730402,2252445.0
49,2016-10-24,Baseline,2248446.092586511,,,2663125.0
49,2016-10-24,TV,131544.00413662306,37758.10699742171,267976.8346145886,2663125.0
49,2016-10-24,Out-of-home,96076.96931755362,13724.909235667525,219082.7149849251,2663125.0
49,2016-10-24,Print,69094.24827654783,13110.158134533607,156857.12907090012,2663125.0
49,2016-10-24,Facebook,106317.15405493524,26532.485734790946,206648.77514523844,2663125.0
49,2016-10-24,Search,41313.06324935399,3469.998530460176,171736.92742390142,2663125.0
50,2016-10-31,Baseline,2398776.901490498,,,2974771.66666667
50,2016-10-31,TV,399333.53804630425,284285.6496243662,514462.6192035919,2974771.66666667
50,2016-10-31,Out-of-home,64526.10229452033,3734.125540777512,186949.379900975,2974771.66666667
50,2016-10-31,Print,19410.45240045685,623.4299217860126,113159.14831467778,2974771.66666667
50,2016-10-31,Facebook,113993.61785688916,28700.304468469432,217888.62293995192,2974771.66666667
50,2016-10-31,Search,47298.48866809034,4535.467280461573,180993.8053781438,2974771.66666667
51,2016-11-07,Baseline,2389298.75866963,,,2826128.33333333
51,2016-11-07,TV,143485.0491734253,44556.01649129085,279314.4163019273,2826128.33333333
51,2016-11-07,Out-of-home,93445.71344303196,12883.660554039834,215600.5083264912,2826128.33333333
51,2016-11-07,Print,77748.0683800505,15605.699098595434,165275.8359956063,2826128.33333333
51,2016-11-07,Facebook,120120.40291404858,30347.771395815045,231256.15445445437,2826128.33333333
51,2016-11-07,Search,44883.32364687769,3927.377102284978,179454.78878866535,2826128.33333333
52,2016-11-14,Baseline,2569639.610338373,,,3182900.0
52,2016-11-14,TV,312364.68742799654,215504.1383573517,415837.2095922841,3182900.0
52,2016-11-14,Out-of-home,62374.96395888784,3377.503817907579,184411.0837699056,3182900.0
52,2016-11-14,Print,22505.686165778094,901.4870573168876,116862.51106863872,3182900.0
52,2016-11-14,Facebook,110647.12443630796,26858.20597983735,218091.6152101362,3182900.0
52,2016-11-14,Search,16460.59217988674,230.56362776440844,143402.40539543473,3182900.0
53,2016-11-21,Baseline,2449249.137403205,,,2964696.66666667
53,2016-11-21,TV,145039.91939921802,59092.09316318225,260938.13620564868,2964696.66666667
53,2016-11-21,Out-of-home,93557.59233905772,13035.713318273083,215126.0471284148,2964696.66666667
53,2016-11-21,Print,56474.02380137183,9669.860257815457,142700.54220918665,2964696.66666667
53,2016-11-21,Facebook,117841.69288763808,29377.81462400048,230064.39248448776,2964696.66666667
53,2016-11-21,Search,6074.38555052407,7.027976987754976,115010.81304264598,2964696.66666667
54,2016-11-28,Baseline,2518420.109352149,,,2848525.0
54,2016-11-28,TV,30966.925541690813,3221.5714654115204,120388.8631317244,2848525.0
54,2016-11-28,Out-of-home,62357.86096093404,3411.664959959433,183707.5450795835,2848525.0
54,2016-11-28,Print,44476.63947242964,6096.3337117266165,132845.96881634943,2848525.0
54,2016-11-28,Facebook,105177.13603747128,24814.94476520413,211210.85054124484,2848525.0
54,2016-11-28,Search,64466.22575197446,6841.7818853726,198753.8795816689,2848525.0
55,2016-12-05,Baseline,2263474.2728177006,,,2740160.0
55,2016-12-05,TV,130781.93216198833,46818.3358856917,244547.6597740868,2740160.0
55,2016-12-05,Out-of-home,109521.41347109184,17025.41800528644,238632.76385035264,2740160.0
55,2016-12-05,Print,12070.766992368392,185.2917743605157,98592.92804788664,2740160.0
55,2016-12-05,Facebook,68717.2453382764,11940.94771914622,159781.12651295247,2740160.0
55,2016-12-05,Search,75576.49500850668,7791.8699603616915,219641.48109007985,2740160.0
